"","GeneSymbol","LevelOfConfidence"
"1","KCNA1","HighEvidence"
"2","SLC1A3","HighEvidence"
"3","ATP1A2","HighEvidence"
"4","SLC6A5","HighEvidence"
"5","SCN1A","HighEvidence"
"6","KCNQ2","HighEvidence"
"7","GLRA1","HighEvidence"
"8","PRRT2","HighEvidence"
"9","KCNQ3","HighEvidence"
"10","CACNB4","HighEvidence"
"11","ATP7B","HighEvidence"
"12","SLC2A1","HighEvidence"
"13","ADCY5","HighEvidence"
"14","ATP1A3","HighEvidence"
"15","GLRB","HighEvidence"
"16","CACNA1A","HighEvidence"
"17","PNKD","HighEvidence"
"18","SCN8A","HighEvidence"
"19","KCNK18","ModerateEvidence"
"20","SCN9A","LowEvidence"
"21","NKX2-1","LowEvidence"
"22","HTT","LowEvidence"
"23","ATN1","LowEvidence"
