"","GeneSymbol","LevelOfConfidence"
"1","ADA2","HighEvidence"
"2","RASA1","HighEvidence"
"3","PKD1","HighEvidence"
"4","SMAD3","HighEvidence"
"5","NOTCH3","HighEvidence"
"6","TGFBR1","HighEvidence"
"7","KRIT1","HighEvidence"
"8","FLVCR2","HighEvidence"
"9","ATR","HighEvidence"
"10","SLC2A10","HighEvidence"
"11","ACTA2","HighEvidence"
"12","COL3A1","HighEvidence"
"13","GUCY1A3","HighEvidence"
"14","NF1","HighEvidence"
"15","ENG","HighEvidence"
"16","SAMHD1","HighEvidence"
"17","PDCD10","HighEvidence"
"18","PKD2","HighEvidence"
"19","ACVRL1","HighEvidence"
"20","HBB","HighEvidence"
"21","TGFBR2","HighEvidence"
"22","TGFB2","HighEvidence"
"23","ELN","HighEvidence"
"24","SMAD4","HighEvidence"
"25","JAG1","HighEvidence"
"26","CCM2","HighEvidence"
"27","THSD1","HighEvidence"
"28","CEP152","HighEvidence"
"29","PCNT","HighEvidence"
"30","GDF2","ModerateEvidence"
"31","RTTN","LowEvidence"
"32","TUBB2A","LowEvidence"
"33","HTRA1","LowEvidence"
"34","SMARCAL1","LowEvidence"
"35","ADGRG1","LowEvidence"
"36","POMGNT1","LowEvidence"
"37","COL4A2","LowEvidence"
"38","TUBB","LowEvidence"
"39","OPHN1","LowEvidence"
"40","COL4A1","LowEvidence"
"41","LARGE1","LowEvidence"
"42","ACE","LowEvidence"
"43","GLA","LowEvidence"
"44","RBBP8","LowEvidence"
"45","KDR","LowEvidence"
"46","NDE1","LowEvidence"
"47","TUBA1A","LowEvidence"
"48","FBN1","LowEvidence"
"49","HLA-DRB1","LowEvidence"
"50","LAMB1","LowEvidence"
"51","GNAQ","LowEvidence"
"52","RNF213","LowEvidence"
"53","GLMN","LowEvidence"
"54","TMEM5","LowEvidence"
"55","SRPX2","LowEvidence"
"56","PIK3R2","LowEvidence"
"57","TEK","LowEvidence"
"58","ABCC6","LowEvidence"
"59","STAMBP","LowEvidence"
"60","VLDLR","LowEvidence"
"61","LAMC3","LowEvidence"
"62","POMT2","LowEvidence"
"63","OCLN","LowEvidence"
"64","ARX","LowEvidence"
"65","BRCC3","LowEvidence"
"66","IL6","LowEvidence"
"67","PTEN","LowEvidence"
"68","ATP7A","LowEvidence"
"69","WDR62","LowEvidence"
"70","TUBG1","LowEvidence"
"71","TRAIP","LowEvidence"
"72","CEP63","LowEvidence"
"73","FOXF1","LowEvidence"
"74","PAFAH1B1","LowEvidence"
"75","HLA-DQB1","LowEvidence"
"76","DCX","LowEvidence"
"77","PIK3CA","LowEvidence"
"78","RELN","LowEvidence"
"79","MEF2C","LowEvidence"
"80","HLA-B","LowEvidence"
"81","POMT1","LowEvidence"
"82","CENPJ","LowEvidence"
"83","TUBB2B","LowEvidence"
"84","NIN","LowEvidence"
"85","TUBB3","LowEvidence"
"86","ANTXR1","LowEvidence"
"87","CRB1","LowEvidence"
"88","DNA2","LowEvidence"
"89","TUBA8","LowEvidence"
"90","FLT4","LowEvidence"
"91","MYMY1","NoList"
"92","MYMY3","NoList"
"93","ANIB1","NoList"
