"","GeneSymbol","LevelOfConfidence"
"1","RETREG1","HighEvidence"
"2","ELP1","HighEvidence"
"3","DNM2","HighEvidence"
"4","GAN","HighEvidence"
"5","HSPB1","HighEvidence"
"6","MTMR2","HighEvidence"
"7","PRDM12","HighEvidence"
"8","VCP","HighEvidence"
"9","PEX7","HighEvidence"
"10","TUBB3","HighEvidence"
"11","FGD4","HighEvidence"
"12","PLEKHG5","HighEvidence"
"13","INF2","HighEvidence"
"14","GARS","HighEvidence"
"15","SEPT9","HighEvidence"
"16","TRPV4","HighEvidence"
"17","DYNC1H1","HighEvidence"
"18","ATP7A","HighEvidence"
"19","KIF5A","HighEvidence"
"20","MPZ","HighEvidence"
"21","SETX","HighEvidence"
"22","AARS","HighEvidence"
"23","ATL3","HighEvidence"
"24","TYMP","HighEvidence"
"25","ARHGEF10","HighEvidence"
"26","YARS","HighEvidence"
"27","HARS","HighEvidence"
"28","SLC52A2","HighEvidence"
"29","PRX","HighEvidence"
"30","GLA","HighEvidence"
"31","SPTLC1","HighEvidence"
"32","LRSAM1","HighEvidence"
"33","POLG","HighEvidence"
"34","NDRG1","HighEvidence"
"35","NTRK1","HighEvidence"
"36","COX6A1","HighEvidence"
"37","SLC52A3","HighEvidence"
"38","PDHA1","HighEvidence"
"39","AIFM1","HighEvidence"
"40","APTX","HighEvidence"
"41","SCN11A","HighEvidence"
"42","MORC2","HighEvidence"
"43","MT-ATP6","HighEvidence"
"44","NGF","HighEvidence"
"45","DNMT1","HighEvidence"
"46","TFG","HighEvidence"
"47","CHCHD10","HighEvidence"
"48","PMP22","HighEvidence"
"49","IGHMBP2","HighEvidence"
"50","HK1","HighEvidence"
"51","SACS","HighEvidence"
"52","MFN2","HighEvidence"
"53","SPAST","HighEvidence"
"54","SH3TC2","HighEvidence"
"55","SCN9A","HighEvidence"
"56","PRPS1","HighEvidence"
"57","PHYH","HighEvidence"
"58","SPG11","HighEvidence"
"59","HINT1","HighEvidence"
"60","NEFL","HighEvidence"
"61","REEP1","HighEvidence"
"62","BSCL2","HighEvidence"
"63","SPTLC2","HighEvidence"
"64","ATM","HighEvidence"
"65","LMNA","HighEvidence"
"66","GDAP1","HighEvidence"
"67","HSPB8","HighEvidence"
"68","WNK1","HighEvidence"
"69","BICD2","HighEvidence"
"70","PRNP","HighEvidence"
"71","SBF2","HighEvidence"
"72","TTR","HighEvidence"
"73","SMN1","HighEvidence"
"74","EGR2","HighEvidence"
"75","FBLN5","HighEvidence"
"76","FIG4","HighEvidence"
"77","SLC12A6","HighEvidence"
"78","RAB7A","HighEvidence"
"79","C12orf65","HighEvidence"
"80","KIF1A","HighEvidence"
"81","SIGMAR1","HighEvidence"
"82","MPV17","HighEvidence"
"83","LITAF","HighEvidence"
"84","GJB1","HighEvidence"
"85","ATL1","HighEvidence"
"86","MME","ModerateEvidence"
"87","TTN","LowEvidence"
"88","DNAJB2","LowEvidence"
"89","TTBK2","LowEvidence"
"90","RYR2","LowEvidence"
"91","KCNA1","LowEvidence"
"92","ACTN2","LowEvidence"
"93","VCL","LowEvidence"
"94","PNPLA6","LowEvidence"
"95","MRE11","LowEvidence"
"96","TPM1","LowEvidence"
"97","DST","LowEvidence"
"98","PLN","LowEvidence"
"99","ALDH3A2","LowEvidence"
"100","ITPR1","LowEvidence"
"101","DSP","LowEvidence"
"102","LDB3","LowEvidence"
"103","PRKCG","LowEvidence"
"104","CSRP3","LowEvidence"
"105","PRKAG2","LowEvidence"
"106","MYH6","LowEvidence"
"107","TDP1","LowEvidence"
"108","CAV3","LowEvidence"
"109","MYPN","LowEvidence"
"110","TCAP","LowEvidence"
"111","TNNC1","LowEvidence"
"112","MYL3","LowEvidence"
"113","KIF1B","LowEvidence"
"114","CRYAB","LowEvidence"
"115","RIT1","LowEvidence"
"116","SGCD","LowEvidence"
"117","CCT5","LowEvidence"
"118","DES","LowEvidence"
"119","HSPB3","LowEvidence"
"120","L1CAM","LowEvidence"
"121","SPG21","LowEvidence"
"122","DCTN1","LowEvidence"
"123","CTDP1","LowEvidence"
"124","FXN","LowEvidence"
"125","LAMP2","LowEvidence"
"126","ANKRD1","LowEvidence"
"127","DCAF8","LowEvidence"
"128","TMEM43","LowEvidence"
"129","TNNI3","LowEvidence"
"130","SLC52A1","LowEvidence"
"131","HRAS","LowEvidence"
"132","FKTN","LowEvidence"
"133","CASQ2","LowEvidence"
"134","CACNB4","LowEvidence"
"135","KARS","LowEvidence"
"136","TTPA","LowEvidence"
"137","COQ8A","LowEvidence"
"138","WASHC5","LowEvidence"
"139","LAMA4","LowEvidence"
"140","SOX10","LowEvidence"
"141","KRAS","LowEvidence"
"142","SBF1","LowEvidence"
"143","SLC5A7","LowEvidence"
"144","GNB4","LowEvidence"
"145","ACTC1","LowEvidence"
"146","NRAS","LowEvidence"
"147","BAG3","LowEvidence"
"148","MTTP","LowEvidence"
"149","DHTKD1","LowEvidence"
"150","JPH2","LowEvidence"
"151","MED25","LowEvidence"
"152","DHH","LowEvidence"
"153","TNNT2","LowEvidence"
"154","PTPN11","LowEvidence"
"155","SCN5A","LowEvidence"
"156","MYOZ2","LowEvidence"
"157","MYH7","LowEvidence"
"158","NIPA1","LowEvidence"
"159","PDLIM3","LowEvidence"
"160","NEXN","LowEvidence"
"161","DRP2","LowEvidence"
"162","GATAD1","LowEvidence"
"163","CLTCL1","LowEvidence"
"164","DSC2","LowEvidence"
"165","JUP","LowEvidence"
"166","SPG7","LowEvidence"
"167","EMD","LowEvidence"
"168","SYT2","LowEvidence"
"169","FGF14","LowEvidence"
"170","HOXD10","LowEvidence"
"171","TAZ","LowEvidence"
"172","TRIM2","LowEvidence"
"173","MYBPC3","LowEvidence"
"174","PDK3","LowEvidence"
"175","MAP2K1","LowEvidence"
"176","RAF1","LowEvidence"
"177","MAP2K2","LowEvidence"
"178","PLP1","LowEvidence"
"179","SPTBN2","LowEvidence"
"180","MYL2","LowEvidence"
"181","FBXO38","LowEvidence"
"182","BRAF","LowEvidence"
"183","PKP2","LowEvidence"
"184","LAS1L","LowEvidence"
"185","SLC1A3","LowEvidence"
"186","SOS1","LowEvidence"
"187","MARS","LowEvidence"
"188","ABCC9","LowEvidence"
"189","RBM20","LowEvidence"
"190","NAGLU","LowEvidence"
"191","MYH14","LowEvidence"
"192","KCNC3","LowEvidence"
"193","ZFYVE26","LowEvidence"
"194","NEBL","LowEvidence"
"195","HADHA","LowEvidence"
"196","GAA","LowEvidence"
"197","DMD","LowEvidence"
"198","DTNA","LowEvidence"
"199","DSG2","LowEvidence"
"200","SIL1","LowEvidence"
"201","TWNK","LowEvidence"
"202","HADHB","LowEvidence"
"203","ZFYVE27","LowEvidence"
"204","SPART","LowEvidence"
