"","GeneSymbol","LevelOfConfidence"
"1","LARGE1","HighEvidence"
"2","MYMK","HighEvidence"
"3","SELENON","HighEvidence"
"4","COL6A3","HighEvidence"
"5","POMGNT1","HighEvidence"
"6","DOLK","HighEvidence"
"7","POMT2","HighEvidence"
"8","SYNE1","HighEvidence"
"9","COL6A2","HighEvidence"
"10","FKRP","HighEvidence"
"11","DMD","HighEvidence"
"12","B4GAT1","HighEvidence"
"13","DAG1","HighEvidence"
"14","POMT1","HighEvidence"
"15","COL12A1","HighEvidence"
"16","DPM2","HighEvidence"
"17","POMGNT2","HighEvidence"
"18","LMNA","HighEvidence"
"19","LAMA2","HighEvidence"
"20","TMEM5","HighEvidence"
"21","INPP5K","HighEvidence"
"22","MICU1","HighEvidence"
"23","ITGA7","HighEvidence"
"24","POMK","HighEvidence"
"25","CHKB","HighEvidence"
"26","GMPPB","HighEvidence"
"27","COL6A1","HighEvidence"
"28","B3GALNT2","HighEvidence"
"29","ISPD","HighEvidence"
"30","RYR1","HighEvidence"
"31","FKTN","HighEvidence"
"32","ACTA1","ModerateEvidence"
"33","DPM1","ModerateEvidence"
"34","TCAP","ModerateEvidence"
"35","DYSF","ModerateEvidence"
"36","DPM3","ModerateEvidence"
"37","COL4A1","ModerateEvidence"
"38","PLEC","LowEvidence"
"39","PABPN1","LowEvidence"
"40","TMEM43","LowEvidence"
"41","COL4A2","LowEvidence"
"42","DUX4","LowEvidence"
"43","SYNE2","LowEvidence"
"44","EMD","LowEvidence"
"45","ANO5","LowEvidence"
"46","SMCHD1","LowEvidence"
"47","TRAPPC11","LowEvidence"
