"","GeneSymbol","LevelOfConfidence"
"1","TTN","HighEvidence"
"2","LDB3","HighEvidence"
"3","MYOT","HighEvidence"
"4","VCP","HighEvidence"
"5","HSPB8","HighEvidence"
"6","NEB","HighEvidence"
"7","DNM2","HighEvidence"
"8","HSPB1","HighEvidence"
"9","FHL1","HighEvidence"
"10","ANO5","HighEvidence"
"11","MATR3","HighEvidence"
"12","GNE","HighEvidence"
"13","TIA1","HighEvidence"
"14","SQSTM1","HighEvidence"
"15","MYH7","HighEvidence"
"16","DES","HighEvidence"
"17","ACTA1","HighEvidence"
"18","CNBP","HighEvidence"
"19","CRYAB","HighEvidence"
"20","FLNC","HighEvidence"
"21","DYSF","HighEvidence"
"22","BAG3","HighEvidence"
"23","DNAJB6","HighEvidence"
"24","DUX4","LowEvidence"
"25","DMPK","LowEvidence"
"26","DMD","LowEvidence"
"27","KLHL9","LowEvidence"
