"","GeneSymbol","LevelOfConfidence"
"1","SCN1B","HighEvidence"
"2","GABRG2","HighEvidence"
"3","TRAK1","HighEvidence"
"4","PCDH19","HighEvidence"
"5","GABRA1","HighEvidence"
"6","SLC2A1","HighEvidence"
"7","SCN1A","HighEvidence"
"8","CACNA1H","ModerateEvidence"
"9","TBC1D24","LowEvidence"
"10","CPA6","LowEvidence"
"11","GABRB3","LowEvidence"
"12","FTL","LowEvidence"
"13","KCNMA1","LowEvidence"
"14","SCN9A","LowEvidence"
"15","CASR","LowEvidence"
"16","CACNB4","LowEvidence"
"17","PRRT2","LowEvidence"
"18","CLCN2","LowEvidence"
"19","CACNA1G","LowEvidence"
"20","DEPDC5","LowEvidence"
"21","CNTN2","LowEvidence"
"22","KCNQ3","LowEvidence"
"23","SCN2A","LowEvidence"
"24","NEDD4L","LowEvidence"
"25","LGI1","LowEvidence"
