"","GeneSymbol","LevelOfConfidence"
"1","TWNK","HighEvidence"
"2","MRE11","HighEvidence"
"3","COQ8A","HighEvidence"
"4","CA8","HighEvidence"
"5","FMR1","HighEvidence"
"6","HEXA","HighEvidence"
"7","CP","HighEvidence"
"8","AAAS","HighEvidence"
"9","PNKP","HighEvidence"
"10","GOSR2","HighEvidence"
"11","TGM6","HighEvidence"
"12","CYP27A1","HighEvidence"
"13","WFS1","HighEvidence"
"14","FLVCR1","HighEvidence"
"15","ATM","HighEvidence"
"16","NHLRC1","HighEvidence"
"17","AMPD2","HighEvidence"
"18","PLA2G6","HighEvidence"
"19","AP1S2","HighEvidence"
"20","RNF170","HighEvidence"
"21","ABHD12","HighEvidence"
"22","GBA2","HighEvidence"
"23","MARS2","HighEvidence"
"24","NKX6-2","HighEvidence"
"25","OPA3","HighEvidence"
"26","TTC19","HighEvidence"
"27","COX20","HighEvidence"
"28","PDYN","HighEvidence"
"29","FXN","HighEvidence"
"30","GRM1","HighEvidence"
"31","ABCB7","HighEvidence"
"32","FOLR1","HighEvidence"
"33","SAR1B","HighEvidence"
"34","PNPLA6","HighEvidence"
"35","WWOX","HighEvidence"
"36","SRD5A3","HighEvidence"
"37","EIF2B5","HighEvidence"
"38","SLC9A6","HighEvidence"
"39","NPC1","HighEvidence"
"40","CAMTA1","HighEvidence"
"41","RNF216","HighEvidence"
"42","CASK","HighEvidence"
"43","CACNA1A","HighEvidence"
"44","ARSA","HighEvidence"
"45","PRKCG","HighEvidence"
"46","CWF19L1","HighEvidence"
"47","SETX","HighEvidence"
"48","PRRT2","HighEvidence"
"49","POLR3A","HighEvidence"
"50","KIF1C","HighEvidence"
"51","CHMP1A","HighEvidence"
"52","TTPA","HighEvidence"
"53","GJC2","HighEvidence"
"54","GFAP","HighEvidence"
"55","APTX","HighEvidence"
"56","PMPCA","HighEvidence"
"57","SLC2A1","HighEvidence"
"58","SIL1","HighEvidence"
"59","KCND3","HighEvidence"
"60","ELOVL4","HighEvidence"
"61","WDR73","HighEvidence"
"62","OPHN1","HighEvidence"
"63","FGF14","HighEvidence"
"64","PEX16","HighEvidence"
"65","SACS","HighEvidence"
"66","MT-ATP6","HighEvidence"
"67","SPG7","HighEvidence"
"68","CYP2U1","HighEvidence"
"69","ATP1A3","HighEvidence"
"70","DNAJC19","HighEvidence"
"71","DARS2","HighEvidence"
"72","EIF2B3","HighEvidence"
"73","TPP1","HighEvidence"
"74","MMACHC","HighEvidence"
"75","STUB1","HighEvidence"
"76","MTTP","HighEvidence"
"77","GPAA1","HighEvidence"
"78","POLG","HighEvidence"
"79","TMEM240","HighEvidence"
"80","CLCN2","HighEvidence"
"81","VLDLR","HighEvidence"
"82","ATCAY","HighEvidence"
"83","ANO10","HighEvidence"
"84","VRK1","HighEvidence"
"85","CACNA1G","HighEvidence"
"86","SEPSECS","HighEvidence"
"87","GRID2","HighEvidence"
"88","AFG3L2","HighEvidence"
"89","SNX14","HighEvidence"
"90","EIF2B4","HighEvidence"
"91","EPM2A","HighEvidence"
"92","PAX6","HighEvidence"
"93","TSEN54","HighEvidence"
"94","EIF2B2","HighEvidence"
"95","WDR81","HighEvidence"
"96","RARS2","HighEvidence"
"97","ITPR1","HighEvidence"
"98","DDHD2","HighEvidence"
"99","SLC1A3","HighEvidence"
"100","EXOSC3","HighEvidence"
"101","EIF2B1","HighEvidence"
"102","HEXB","HighEvidence"
"103","TSEN2","HighEvidence"
"104","TTBK2","HighEvidence"
"105","DNAJC5","HighEvidence"
"106","TUBB4A","HighEvidence"
"107","SPTBN2","HighEvidence"
"108","SYNE1","HighEvidence"
"109","KCNJ10","HighEvidence"
"110","KCNC3","HighEvidence"
"111","KCNA1","HighEvidence"
"112","CLN6","HighEvidence"
"113","PRNP","HighEvidence"
"114","DNMT1","HighEvidence"
"115","NPC2","HighEvidence"
"116","MVK","ModerateEvidence"
"117","DMXL2","ModerateEvidence"
"118","COG5","ModerateEvidence"
"119","VAMP1","ModerateEvidence"
"120","ZNF592","LowEvidence"
"121","ZFYVE26","LowEvidence"
"122","ATP2B3","LowEvidence"
"123","ATXN7","LowEvidence"
"124","SYT14","LowEvidence"
"125","ATN1","LowEvidence"
"126","ELOVL5","LowEvidence"
"127","CACNB4","LowEvidence"
"128","CLP1","LowEvidence"
"129","PRICKLE1","LowEvidence"
"130","ATXN2","LowEvidence"
"131","SCN8A","LowEvidence"
"132","PIK3R5","LowEvidence"
"133","RELN","LowEvidence"
"134","NAGLU","LowEvidence"
"135","ATXN3","LowEvidence"
"136","XRCC1","LowEvidence"
"137","DAB1","LowEvidence"
"138","AARS","LowEvidence"
"139","ATXN8","LowEvidence"
"140","NOP56","LowEvidence"
"141","PCLO","LowEvidence"
"142","MTPAP","LowEvidence"
"143","ATP8A2","LowEvidence"
"144","ALAS2","LowEvidence"
"145","CCDC88C","LowEvidence"
"146","RUBCN","LowEvidence"
"147","TSEN34","LowEvidence"
"148","PPP2R2B","LowEvidence"
"149","PAX2","LowEvidence"
"150","ATXN10","LowEvidence"
"151","BEAN1","LowEvidence"
"152","UCHL1","LowEvidence"
"153","VPS53","LowEvidence"
"154","TBP","LowEvidence"
"155","TDP1","LowEvidence"
"156","DYNC1H1","LowEvidence"
"157","ATXN1","LowEvidence"
"158","CSTB","LowEvidence"
"159","UBR4","LowEvidence"
