"","GeneSymbol","LevelOfConfidence"
"1","WASHC5","HighEvidence"
"2","SPART","HighEvidence"
"3","L1CAM","HighEvidence"
"4","SLC16A2","HighEvidence"
"5","NKX6-2","HighEvidence"
"6","REEP1","HighEvidence"
"7","SACS","HighEvidence"
"8","SPAST","HighEvidence"
"9","BSCL2","HighEvidence"
"10","SPG7","HighEvidence"
"11","HSPD1","HighEvidence"
"12","SERAC1","HighEvidence"
"13","NIPA1","HighEvidence"
"14","RTN2","HighEvidence"
"15","ALS2","HighEvidence"
"16","KIDINS220","HighEvidence"
"17","CYP2U1","HighEvidence"
"18","AFG3L2","HighEvidence"
"19","FA2H","HighEvidence"
"20","AP4B1","HighEvidence"
"21","DDHD1","HighEvidence"
"22","DDHD2","HighEvidence"
"23","GBA2","HighEvidence"
"24","KIF5A","HighEvidence"
"25","B4GALNT1","HighEvidence"
"26","TUBB4A","HighEvidence"
"27","SPG11","HighEvidence"
"28","C19orf12","HighEvidence"
"29","OPA3","HighEvidence"
"30","ZFYVE26","HighEvidence"
"31","CYP7B1","HighEvidence"
"32","ADAR","HighEvidence"
"33","SPG21","HighEvidence"
"34","KIF1A","HighEvidence"
"35","AP4E1","HighEvidence"
"36","ALDH18A1","HighEvidence"
"37","ATL1","HighEvidence"
"38","PNPLA6","HighEvidence"
"39","PLP1","HighEvidence"
"40","WDR45B","HighEvidence"
"41","C12orf65","HighEvidence"
"42","AIMP1","HighEvidence"
"43","SLC25A46","HighEvidence"
"44","AP4S1","HighEvidence"
"45","AP4M1","HighEvidence"
"46","CDK16","ModerateEvidence"
"47","REEP2","ModerateEvidence"
"48","PSEN1","LowEvidence"
"49","ERLIN2","LowEvidence"
"50","GAD1","LowEvidence"
"51","SLC33A1","LowEvidence"
"52","PCDH12","LowEvidence"
"53","ZFYVE27","LowEvidence"
"54","ENTPD1","LowEvidence"
"55","VAMP1","LowEvidence"
"56","USP8","LowEvidence"
"57","NT5C2","LowEvidence"
"58","PGAP1","LowEvidence"
"59","AP5Z1","LowEvidence"
"60","CCT5","LowEvidence"
"61","VPS37A","LowEvidence"
"62","WDR48","LowEvidence"
"63","TECPR2","LowEvidence"
"64","ARSI","LowEvidence"
"65","KIF1C","LowEvidence"
"66","GJC2","LowEvidence"
"67","TFG","LowEvidence"
"68","MARS2","LowEvidence"
"69","ZEB2","LowEvidence"
"70","DSTYK","LowEvidence"
"71","AMPD2","LowEvidence"
"72","ARL6IP1","LowEvidence"
"73","MARS","LowEvidence"
"74","MTPAP","LowEvidence"
"75","SPG38","NoList"
"76","SPG24","NoList"
"77","SPG27","NoList"
"78","SPG36","NoList"
"79","SPG19","NoList"
"80","SPG32","NoList"
"81","SPG14","NoList"
"82","SPG23","NoList"
"83","SPG41","NoList"
"84","SPG29","NoList"
"85","SPG34","NoList"
"86","SPG25","NoList"
"87","SPG37","NoList"
"88","SPG16","NoList"
