"","GeneSymbol","LevelOfConfidence"
"1","TWNK","HighEvidence"
"2","COQ8A","HighEvidence"
"3","SOX10","HighEvidence"
"4","ABCD1","HighEvidence"
"5","TYMP","HighEvidence"
"6","BCAP31","HighEvidence"
"7","CLCN2","HighEvidence"
"8","RNASEH2C","HighEvidence"
"9","ETFDH","HighEvidence"
"10","ADAR","HighEvidence"
"11","SDHAF1","HighEvidence"
"12","SLC25A12","HighEvidence"
"13","COX10","HighEvidence"
"14","GJB1","HighEvidence"
"15","POLG2","HighEvidence"
"16","PYCR2","HighEvidence"
"17","CIC","HighEvidence"
"18","SUMF1","HighEvidence"
"19","HEPACAM","HighEvidence"
"20","SCO1","HighEvidence"
"21","ASPA","HighEvidence"
"22","ERCC8","HighEvidence"
"23","SUCLA2","HighEvidence"
"24","POLG","HighEvidence"
"25","D2HGDH","HighEvidence"
"26","CSF1R","HighEvidence"
"27","PEX1","HighEvidence"
"28","SLC16A2","HighEvidence"
"29","RRM2B","HighEvidence"
"30","EIF2B2","HighEvidence"
"31","EIF2B1","HighEvidence"
"32","COX15","HighEvidence"
"33","NDUFS8","HighEvidence"
"34","LMNB1","HighEvidence"
"35","TUBB4A","HighEvidence"
"36","PSAP","HighEvidence"
"37","DARS","HighEvidence"
"38","LAMB1","HighEvidence"
"39","ERCC6","HighEvidence"
"40","DGUOK","HighEvidence"
"41","SLC17A5","HighEvidence"
"42","MCOLN1","HighEvidence"
"43","GFM1","HighEvidence"
"44","TREX1","HighEvidence"
"45","EARS2","HighEvidence"
"46","PEX16","HighEvidence"
"47","NDUFAF1","HighEvidence"
"48","GJC2","HighEvidence"
"49","SCO2","HighEvidence"
"50","GJA1","HighEvidence"
"51","SCP2","HighEvidence"
"52","ARSA","HighEvidence"
"53","DPYD","HighEvidence"
"54","SLC25A4","HighEvidence"
"55","TACO1","HighEvidence"
"56","FOLR1","HighEvidence"
"57","COQ2","HighEvidence"
"58","PEX26","HighEvidence"
"59","SAMHD1","HighEvidence"
"60","PEX13","HighEvidence"
"61","RNASET2","HighEvidence"
"62","RNASEH2B","HighEvidence"
"63","AIMP1","HighEvidence"
"64","PEX10","HighEvidence"
"65","PLP1","HighEvidence"
"66","NDUFS1","HighEvidence"
"67","GALC","HighEvidence"
"68","PEX12","HighEvidence"
"69","NDUFS2","HighEvidence"
"70","PEX5","HighEvidence"
"71","RNASEH2A","HighEvidence"
"72","PEX3","HighEvidence"
"73","SDHB","HighEvidence"
"74","GFAP","HighEvidence"
"75","MEF2C","HighEvidence"
"76","ACOX1","HighEvidence"
"77","FUCA1","HighEvidence"
"78","PAFAH1B1","HighEvidence"
"79","SURF1","HighEvidence"
"80","ALDH3A2","HighEvidence"
"81","NDUFAF3","HighEvidence"
"82","MTFMT","HighEvidence"
"83","EIF2B3","HighEvidence"
"84","NKX6-2","HighEvidence"
"85","IFIH1","HighEvidence"
"86","HSD17B4","HighEvidence"
"87","POLR3B","HighEvidence"
"88","GBE1","HighEvidence"
"89","AARS2","HighEvidence"
"90","POLR3A","HighEvidence"
"91","CYP27A1","HighEvidence"
"92","MPLKIP","HighEvidence"
"93","LYRM7","HighEvidence"
"94","PEX6","HighEvidence"
"95","RARS","HighEvidence"
"96","NDUFS4","HighEvidence"
"97","DARS2","HighEvidence"
"98","FAM126A","HighEvidence"
"99","NDUFS7","HighEvidence"
"100","PEX2","HighEvidence"
"101","EIF2B4","HighEvidence"
"102","MLC1","HighEvidence"
"103","EIF2B5","HighEvidence"
"104","BCS1L","HighEvidence"
"105","NDUFV1","HighEvidence"
"106","L2HGDH","HighEvidence"
"107","FLVCR2","HighEvidence"
"108","NUBPL","HighEvidence"
"109","POLR1C","HighEvidence"
"110","PEX14","ModerateEvidence"
"111","PEX19","ModerateEvidence"
"112","COQ9","ModerateEvidence"
"113","TUFM","ModerateEvidence"
"114","MRPS16","ModerateEvidence"
"115","ATPAF2","ModerateEvidence"
"116","NOTCH3","LowEvidence"
"117","TREM2","LowEvidence"
"118","HTRA1","LowEvidence"
"119","MFF","LowEvidence"
"120","TUBB2B","LowEvidence"
"121","DCX","LowEvidence"
"122","EGR2","LowEvidence"
"123","HSPD1","LowEvidence"
"124","ADGRG1","LowEvidence"
"125","TUBA8","LowEvidence"
"126","RELN","LowEvidence"
"127","SLC25A1","LowEvidence"
"128","JAM3","LowEvidence"
"129","MPZ","LowEvidence"
"130","PMP22","LowEvidence"
"131","ISCA2","LowEvidence"
"132","ARX","LowEvidence"
"133","SDHD","LowEvidence"
"134","SNORD118","LowEvidence"
"135","NDE1","LowEvidence"
"136","TUBA1A","LowEvidence"
