"","GeneSymbol","LevelOfConfidence"
"1","RETREG1","HighEvidence"
"2","SCN9A","HighEvidence"
"3","SPTLC2","HighEvidence"
"4","ELP1","HighEvidence"
"5","WNK1","HighEvidence"
"6","ATL3","HighEvidence"
"7","NTRK1","HighEvidence"
"8","SPTLC1","HighEvidence"
"9","SEPT9","HighEvidence"
"10","SCN11A","HighEvidence"
"11","ATL1","HighEvidence"
"12","SCN10A","HighEvidence"
"13","PRNP","HighEvidence"
"14","GLA","HighEvidence"
"15","PRDM12","HighEvidence"
"16","NGF","HighEvidence"
"17","TTR","HighEvidence"
"18","RAB7A","HighEvidence"
"19","KIF1A","HighEvidence"
"20","TRPA1","HighEvidence"
"21","MPV17","ModerateEvidence"
"22","NAGLU","ModerateEvidence"
"23","CLTCL1","LowEvidence"
"24","CCT5","LowEvidence"
