"","GeneSymbol","LevelOfConfidence"
"1","PRKN","HighEvidence"
"2","SYNJ1","HighEvidence"
"3","SPG11","HighEvidence"
"4","PARK7","HighEvidence"
"5","LRRK2","HighEvidence"
"6","VPS35","HighEvidence"
"7","ATP1A3","HighEvidence"
"8","PRKRA","HighEvidence"
"9","RAB39B","HighEvidence"
"10","FBXO7","HighEvidence"
"11","GRN","HighEvidence"
"12","TH","HighEvidence"
"13","SLC6A3","HighEvidence"
"14","SLC39A14","HighEvidence"
"15","SNCA","HighEvidence"
"16","GCH1","HighEvidence"
"17","PLA2G6","HighEvidence"
"18","WDR45","HighEvidence"
"19","MAPT","HighEvidence"
"20","DCTN1","HighEvidence"
"21","C19orf12","HighEvidence"
"22","ATP13A2","HighEvidence"
"23","TUBB4A","HighEvidence"
"24","FTL","HighEvidence"
"25","VPS13A","HighEvidence"
"26","DNAJC6","HighEvidence"
"27","SPR","HighEvidence"
"28","OPA3","HighEvidence"
"29","CSF1R","HighEvidence"
"30","PANK2","HighEvidence"
"31","SLC30A10","HighEvidence"
"32","PINK1","HighEvidence"
"33","GBA","ModerateEvidence"
"34","TAF1","ModerateEvidence"
"35","CHCHD2","ModerateEvidence"
"36","ATXN2","LowEvidence"
"37","ATXN3","LowEvidence"
"38","IPPK","LowEvidence"
"39","ANO3","LowEvidence"
"40","HTT","LowEvidence"
"41","SNCAIP","LowEvidence"
"42","GIGYF2","LowEvidence"
"43","EIF4G1","LowEvidence"
"44","ATP6AP2","LowEvidence"
"45","THAP1","LowEvidence"
"46","TOR1A","LowEvidence"
"47","TBP","LowEvidence"
"48","SGCE","LowEvidence"
"49","C9orf72","LowEvidence"
"50","JPH3","LowEvidence"
"51","NR4A2","LowEvidence"
"52","UCHL1","LowEvidence"
"53","SLC41A1","LowEvidence"
"54","GNAL","LowEvidence"
"55","HTRA2","LowEvidence"
"56","EPHB4","NoList"
