"","GeneSymbol","LevelOfConfidence"
"1","ETFA","HighEvidence"
"2","ISCU","HighEvidence"
"3","SUCLA2","HighEvidence"
"4","LDHA","HighEvidence"
"5","CPT2","HighEvidence"
"6","ETFB","HighEvidence"
"7","POLG","HighEvidence"
"8","RYR1","HighEvidence"
"9","DMD","HighEvidence"
"10","ACAD9","HighEvidence"
"11","POLG2","HighEvidence"
"12","FKRP","HighEvidence"
"13","AGL","HighEvidence"
"14","TSEN54","HighEvidence"
"15","PGK1","HighEvidence"
"16","GBE1","HighEvidence"
"17","LAMP2","HighEvidence"
"18","PHKB","HighEvidence"
"19","HADHB","HighEvidence"
"20","ANO5","HighEvidence"
"21","DYSF","HighEvidence"
"22","RBCK1","HighEvidence"
"23","ACADM","HighEvidence"
"24","ENO3","HighEvidence"
"25","HADHA","HighEvidence"
"26","PGM1","HighEvidence"
"27","RRM2B","HighEvidence"
"28","GYG1","HighEvidence"
"29","CACNA1S","HighEvidence"
"30","ETFDH","HighEvidence"
"31","TK2","HighEvidence"
"32","SIL1","HighEvidence"
"33","LPIN1","HighEvidence"
"34","PRKAG2","HighEvidence"
"35","GYS1","HighEvidence"
"36","TSFM","HighEvidence"
"37","SLC22A5","HighEvidence"
"38","PFKM","HighEvidence"
"39","ALDOA","HighEvidence"
"40","PGAM2","HighEvidence"
"41","GAA","HighEvidence"
"42","CAV3","HighEvidence"
"43","TYMP","HighEvidence"
"44","FKTN","HighEvidence"
"45","PYGM","HighEvidence"
"46","PHKA1","HighEvidence"
"47","ACADVL","HighEvidence"
"48","AMPD1","LowEvidence"
"49","SLC22A12","LowEvidence"
"50","CPT1B","LowEvidence"
"51","PHKG1","LowEvidence"
"52","CYP2C8","LowEvidence"
"53","FBP2","LowEvidence"
"54","SLC2A9","LowEvidence"
"55","OBSCN","LowEvidence"
