"","GeneSymbol","LevelOfConfidence"
"1","ADCY5","HighEvidence"
"2","SCN4A","HighEvidence"
"3","MT-ATP6","HighEvidence"
"4","KCNA1","HighEvidence"
"5","KCNJ2","HighEvidence"
"6","CLCN1","HighEvidence"
"7","MT-ATP8","HighEvidence"
"8","SLC1A3","HighEvidence"
"9","CACNA1S","HighEvidence"
"10","PYGM","HighEvidence"
"11","RYR1","HighEvidence"
"12","ATP2A1","HighEvidence"
"13","CACNA1A","ModerateEvidence"
"14","KCNJ5","ModerateEvidence"
"15","CACNB4","ModerateEvidence"
"16","KCNQ2","ModerateEvidence"
"17","DMPK","LowEvidence"
"18","KCNJ18","LowEvidence"
"19","HSPG2","LowEvidence"
"20","CNBP","LowEvidence"
