"","GeneSymbol","LevelOfConfidence"
"1","MECR","HighEvidence"
"2","FA2H","HighEvidence"
"3","SLC20A2","HighEvidence"
"4","SLC30A10","HighEvidence"
"5","NDUFA1","HighEvidence"
"6","PCCB","HighEvidence"
"7","PDP1","HighEvidence"
"8","TOR1A","HighEvidence"
"9","MT-ATP6","HighEvidence"
"10","VPS13A","HighEvidence"
"11","COX10","HighEvidence"
"12","SERAC1","HighEvidence"
"13","PDGFRB","HighEvidence"
"14","NDUFAF2","HighEvidence"
"15","GCDH","HighEvidence"
"16","NDUFV1","HighEvidence"
"17","DLAT","HighEvidence"
"18","FTL","HighEvidence"
"19","ATP13A2","HighEvidence"
"20","PDGFB","HighEvidence"
"21","WDR45","HighEvidence"
"22","MT-ND6","HighEvidence"
"23","MUT","HighEvidence"
"24","PLA2G6","HighEvidence"
"25","IFIH1","HighEvidence"
"26","OCLN","HighEvidence"
"27","COASY","HighEvidence"
"28","CP","HighEvidence"
"29","NDUFS8","HighEvidence"
"30","NDUFA10","HighEvidence"
"31","NDUFAF6","HighEvidence"
"32","XPR1","HighEvidence"
"33","COX15","HighEvidence"
"34","PCCA","HighEvidence"
"35","PDHA1","HighEvidence"
"36","HIBCH","HighEvidence"
"37","PRNP","HighEvidence"
"38","SLC25A19","HighEvidence"
"39","ATP7B","HighEvidence"
"40","SURF1","HighEvidence"
"41","RAB39B","HighEvidence"
"42","TUBA1A","HighEvidence"
"43","ISG15","HighEvidence"
"44","VAC14","HighEvidence"
"45","IVD","HighEvidence"
"46","MT-ND1","HighEvidence"
"47","BCS1L","HighEvidence"
"48","TUBB4A","HighEvidence"
"49","NDUFS7","HighEvidence"
"50","SLC19A3","HighEvidence"
"51","ETHE1","HighEvidence"
"52","ADAR","HighEvidence"
"53","PDE10A","HighEvidence"
"54","C19orf12","HighEvidence"
"55","SLC39A14","HighEvidence"
"56","NDUFS4","HighEvidence"
"57","AP1S2","HighEvidence"
"58","FOXP2","HighEvidence"
"59","KMT2B","HighEvidence"
"60","SDHA","HighEvidence"
"61","SUCLG1","HighEvidence"
"62","PANK2","HighEvidence"
"63","SUCLA2","HighEvidence"
"64","GFAP","ModerateEvidence"
"65","NUP62","LowEvidence"
"66","SUOX","LowEvidence"
"67","PDX1","LowEvidence"
"68","NDUFS3","LowEvidence"
"69","HTT","LowEvidence"
"70","HEXA","LowEvidence"
"71","NDUFA2","LowEvidence"
"72","AIFM1","LowEvidence"
"73","BDNF","LowEvidence"
"74","NDUFA9","LowEvidence"
"75","DCAF10","LowEvidence"
