"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","PRKN","HighEvidence","biallelic",NA
"2","ADAR","HighEvidence","biallelic",NA
"3","ADCY5","HighEvidence","monoallelic_not_imprinted",NA
"4","ANO3","HighEvidence","monoallelic",NA
"5","APTX","HighEvidence","biallelic",NA
"6","ATM","HighEvidence","biallelic",NA
"7","ATP13A2","HighEvidence","biallelic",NA
"8","ATP1A3","HighEvidence","monoallelic_not_imprinted",NA
"9","ATP7B","HighEvidence","biallelic",NA
"10","C19orf12","HighEvidence","biallelic",NA
"11","CHMP2B","HighEvidence","monoallelic",NA
"12","COASY","HighEvidence","biallelic",NA
"13","CP","HighEvidence","biallelic",NA
"14","CSTB","HighEvidence","biallelic",NA
"15","DCAF17","HighEvidence","biallelic",NA
"16","FA2H","HighEvidence","biallelic",NA
"17","FBXO7","HighEvidence","biallelic",NA
"18","FTL","HighEvidence","monoallelic",NA
"19","GCH1","HighEvidence","monoallelic_and_biallelic",NA
"20","GNAO1","HighEvidence","monoallelic",NA
"21","HTRA2","HighEvidence","biallelic",NA
"22","KMT2B","HighEvidence","monoallelic",NA
"23","MECR","HighEvidence","biallelic",NA
"24","NKX6-2","HighEvidence","biallelic",NA
"25","PANK2","HighEvidence","biallelic",NA
"26","PINK1","HighEvidence","biallelic",NA
"27","PLA2G6","HighEvidence","biallelic",NA
"28","PNKD","HighEvidence","monoallelic_not_imprinted",NA
"29","PRKRA","HighEvidence","biallelic",NA
"30","PRRT2","HighEvidence","monoallelic_not_imprinted",NA
"31","SERAC1","HighEvidence","biallelic",NA
"32","SGCE","HighEvidence","monoallelic_maternally_imprinted",NA
"33","SLC2A1","HighEvidence","monoallelic_and_biallelic",NA
"34","SLC30A10","HighEvidence","biallelic",NA
"35","SLC6A3","HighEvidence","biallelic",NA
"36","SPR","HighEvidence","biallelic",NA
"37","SYNJ1","HighEvidence","biallelic",NA
"38","TH","HighEvidence","biallelic",NA
"39","THAP1","HighEvidence","monoallelic_not_imprinted",NA
"40","TOR1A","HighEvidence","monoallelic_not_imprinted",NA
"41","TUBB4A","HighEvidence","monoallelic",NA
"42","VAC14","HighEvidence","biallelic",NA
"43","VPS13A","HighEvidence","biallelic",NA
"44","WDR45","HighEvidence","xlinked_monoallelic",NA
"45","WDR73","HighEvidence","biallelic",NA
"46","YY1","HighEvidence","monoallelic_not_imprinted",NA
"47","CIZ1","ModerateEvidence",NA,NA
"48","GNAL","ModerateEvidence","monoallelic_not_imprinted",NA
"49","TAF1","ModerateEvidence","xlinked_monoallelic",NA
"50","ACTB","LowEvidence",NA,NA
"51","AFG3L2","LowEvidence",NA,NA
"52","AP1S2","LowEvidence",NA,NA
"53","ARSA","LowEvidence",NA,NA
"54","ARX","LowEvidence",NA,NA
"55","ATP1A2","LowEvidence",NA,NA
"56","AUH","LowEvidence",NA,NA
"57","BCAP31","LowEvidence",NA,NA
"58","CACNA1A","LowEvidence",NA,NA
"59","CYP27A1","LowEvidence",NA,NA
"60","DCTN1","LowEvidence","monoallelic",NA
"61","DDC","LowEvidence",NA,NA
"62","DLAT","LowEvidence",NA,NA
"63","DRD2","LowEvidence",NA,NA
"64","DRD5","LowEvidence",NA,NA
"65","EARS2","LowEvidence",NA,NA
"66","ERCC6","LowEvidence",NA,NA
"67","FASTKD2","LowEvidence",NA,NA
"68","FOXG1","LowEvidence",NA,NA
"69","FOXRED1","LowEvidence",NA,NA
"70","GAMT","LowEvidence",NA,NA
"71","GCDH","LowEvidence",NA,NA
"72","HPRT1","LowEvidence",NA,NA
"73","KCNQ2","LowEvidence",NA,NA
"74","L2HGDH","LowEvidence",NA,NA
"75","MAT1A","LowEvidence",NA,NA
"76","MCOLN1","LowEvidence",NA,NA
"77","MMADHC","LowEvidence",NA,NA
"78","MPV17","LowEvidence",NA,NA
"79","MR1","LowEvidence","monoallelic",NA
"80","MT-ND6","LowEvidence","mitochondrial",NA
"81","NDUFA12","LowEvidence","biallelic",NA
"82","NPC2","LowEvidence",NA,NA
"83","PARK7","LowEvidence","biallelic",NA
"84","PCDH12","LowEvidence","biallelic",NA
"85","PDGFRB","LowEvidence",NA,NA
"86","PDHX","LowEvidence",NA,NA
"87","PLP1","LowEvidence",NA,NA
"88","PNPT1","LowEvidence",NA,NA
"89","PSEN1","LowEvidence",NA,NA
"90","PTEN","LowEvidence",NA,NA
"91","PTS","LowEvidence",NA,NA
"92","QDPR","LowEvidence",NA,NA
"93","RNASEH2A","LowEvidence",NA,NA
"94","RNASEH2B","LowEvidence",NA,NA
"95","RNASEH2C","LowEvidence",NA,NA
"96","SAMHD1","LowEvidence",NA,NA
"97","SCP2","LowEvidence",NA,NA
"98","SDHAF1","LowEvidence",NA,NA
"99","SLC19A3","LowEvidence",NA,NA
"100","SLC20A2","LowEvidence",NA,NA
"101","SLC39A14","LowEvidence","biallelic",NA
"102","SLC46A1","LowEvidence",NA,NA
"103","SUCLA2","LowEvidence",NA,NA
"104","SUOX","LowEvidence",NA,NA
"105","TIMM8A","LowEvidence",NA,NA
"106","TPK1","LowEvidence",NA,NA
"107","TREM2","LowEvidence",NA,NA
"108","TREX1","LowEvidence",NA,NA
"109","VPS37A","LowEvidence",NA,NA
