"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","KIF1BP","HighEvidence","biallelic",NA
"2","NEXMIF","HighEvidence","xlinked_biallelic",NA
"3","PLPBP","HighEvidence","biallelic",NA
"4","ADSL","HighEvidence","biallelic",NA
"5","ALG11","HighEvidence","biallelic",NA
"6","ALG13","HighEvidence","xlinked_monoallelic",NA
"7","ARHGEF9","HighEvidence","xlinked_biallelic",NA
"8","ARX","HighEvidence","xlinked_biallelic",NA
"9","ATP1A3","HighEvidence","monoallelic_not_imprinted",NA
"10","ATP6V0A2","HighEvidence","biallelic",NA
"11","ATRX","HighEvidence","xlinked_biallelic",NA
"12","BSCL2","HighEvidence","monoallelic_and_biallelic",NA
"13","CACNA1D","HighEvidence","monoallelic_and_biallelic","Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments"
"14","CDKL5","HighEvidence","xlinked_monoallelic",NA
"15","CHD2","HighEvidence","monoallelic_not_imprinted",NA
"16","CIC","HighEvidence","monoallelic",NA
"17","CLTC","HighEvidence","monoallelic",NA
"18","CNTNAP2","HighEvidence","biallelic",NA
"19","CYFIP2","HighEvidence","monoallelic",NA
"20","DIAPH1","HighEvidence","biallelic",NA
"21","DNM1","HighEvidence","monoallelic_not_imprinted",NA
"22","DOCK7","HighEvidence","biallelic",NA
"23","DPYD","HighEvidence","biallelic",NA
"24","DYRK1A","HighEvidence","monoallelic_not_imprinted",NA
"25","EHMT1","HighEvidence","monoallelic_not_imprinted",NA
"26","EML1","HighEvidence","biallelic",NA
"27","EPG5","HighEvidence","biallelic",NA
"28","FOXG1","HighEvidence","monoallelic_not_imprinted",NA
"29","GABBR2","HighEvidence","monoallelic",NA
"30","GABRA1","HighEvidence","monoallelic_not_imprinted",NA
"31","GABRB3","HighEvidence","monoallelic_not_imprinted",NA
"32","GLYCTK","HighEvidence","biallelic",NA
"33","GNAO1","HighEvidence","monoallelic_not_imprinted",NA
"34","GPAA1","HighEvidence","biallelic",NA
"35","GRIN1","HighEvidence","monoallelic_and_biallelic",NA
"36","GRIN2A","HighEvidence","monoallelic_not_imprinted",NA
"37","GRIN2B","HighEvidence","monoallelic_not_imprinted",NA
"38","GSS","HighEvidence","biallelic",NA
"39","HCN1","HighEvidence","monoallelic_not_imprinted",NA
"40","HMGCL","HighEvidence","biallelic",NA
"41","HNRNPH2","HighEvidence","xlinked_monoallelic",NA
"42","HNRNPU","HighEvidence","monoallelic",NA
"43","HTRA2","HighEvidence","biallelic",NA
"44","IDH2","HighEvidence","monoallelic",NA
"45","IER3IP1","HighEvidence","biallelic",NA
"46","IQSEC2","HighEvidence","xlinked_monoallelic",NA
"47","ITPA","HighEvidence","biallelic",NA
"48","KCNA2","HighEvidence","monoallelic",NA
"49","KCNB1","HighEvidence","monoallelic_not_imprinted",NA
"50","KCNJ10","HighEvidence","biallelic",NA
"51","KCNQ2","HighEvidence","monoallelic_not_imprinted",NA
"52","KCNQ3","HighEvidence","monoallelic_not_imprinted",NA
"53","KCNT1","HighEvidence","monoallelic_not_imprinted",NA
"54","MAPK10","HighEvidence","monoallelic_not_imprinted",NA
"55","MBD5","HighEvidence","monoallelic_not_imprinted",NA
"56","MDH2","HighEvidence","biallelic",NA
"57","MECP2","HighEvidence","xlinked_monoallelic",NA
"58","MEF2C","HighEvidence","monoallelic_not_imprinted",NA
"59","MFF","HighEvidence","biallelic",NA
"60","MOGS","HighEvidence","biallelic",NA
"61","MTOR","HighEvidence","monoallelic","Other - please provide details in the comments"
"62","NACC1","HighEvidence","monoallelic_not_imprinted",NA
"63","PCDH19","HighEvidence","xlinked_monoallelic","Other - please provide details in the comments"
"64","PIGA","HighEvidence","xlinked_biallelic",NA
"65","PIGT","HighEvidence","biallelic",NA
"66","PLCB1","HighEvidence","biallelic",NA
"67","PNKP","HighEvidence","biallelic",NA
"68","POLG","HighEvidence","biallelic",NA
"69","PRODH","HighEvidence","biallelic",NA
"70","PRRT2","HighEvidence","monoallelic_not_imprinted",NA
"71","PURA","HighEvidence","monoallelic_not_imprinted",NA
"72","QARS","HighEvidence","biallelic",NA
"73","RANBP2","HighEvidence","monoallelic_not_imprinted",NA
"74","SCN1A","HighEvidence","monoallelic_not_imprinted",NA
"75","SCN1B","HighEvidence","monoallelic_not_imprinted",NA
"76","SCN2A","HighEvidence","monoallelic_not_imprinted",NA
"77","SCN8A","HighEvidence","monoallelic_not_imprinted",NA
"78","SETD5","HighEvidence","monoallelic_not_imprinted",NA
"79","SIK1","HighEvidence","monoallelic_not_imprinted",NA
"80","SLC12A5","HighEvidence","monoallelic_and_biallelic",NA
"81","SLC13A5","HighEvidence","biallelic",NA
"82","SLC16A2","HighEvidence","xlinked_biallelic",NA
"83","SLC1A2","HighEvidence","monoallelic_and_biallelic",NA
"84","SLC25A1","HighEvidence","biallelic",NA
"85","SLC25A22","HighEvidence","biallelic",NA
"86","SLC2A1","HighEvidence","monoallelic_and_biallelic",NA
"87","SLC35A2","HighEvidence","xlinked_monoallelic",NA
"88","SLC6A1","HighEvidence","monoallelic_not_imprinted",NA
"89","SLC6A19","HighEvidence","biallelic",NA
"90","SLC9A6","HighEvidence","xlinked_biallelic",NA
"91","SPTAN1","HighEvidence","monoallelic_not_imprinted",NA
"92","STX1B","HighEvidence","monoallelic_not_imprinted",NA
"93","STXBP1","HighEvidence","monoallelic_not_imprinted",NA
"94","SUOX","HighEvidence","biallelic",NA
"95","SYNGAP1","HighEvidence","monoallelic_not_imprinted",NA
"96","SYNJ1","HighEvidence","biallelic",NA
"97","SZT2","HighEvidence","biallelic",NA
"98","TCF4","HighEvidence","monoallelic_not_imprinted",NA
"99","TRAK1","HighEvidence","biallelic",NA
"100","TRPM6","HighEvidence","biallelic",NA
"101","UBE2A","HighEvidence","xlinked_biallelic",NA
"102","UBE3A","HighEvidence","monoallelic_paternally_imprinted",NA
"103","WDR45","HighEvidence","xlinked_monoallelic",NA
"104","WDR45B","HighEvidence","biallelic",NA
"105","WWOX","HighEvidence","biallelic",NA
"106","YWHAG","HighEvidence","monoallelic",NA
"107","ZEB2","HighEvidence","monoallelic",NA
"108","ATP6AP2","ModerateEvidence","xlinked_biallelic",NA
"109","HAX1","ModerateEvidence","biallelic",NA
"110","TSC1","ModerateEvidence","monoallelic","Other - please provide details in the comments"
"111","ABAT","LowEvidence","biallelic",NA
"112","ALDH7A1","LowEvidence",NA,NA
"113","AP3B2","LowEvidence","biallelic",NA
"114","ATP1A2","LowEvidence",NA,NA
"115","BTD","LowEvidence",NA,NA
"116","CACNA1A","LowEvidence",NA,NA
"117","CACNA1H","LowEvidence",NA,NA
"118","CACNB4","LowEvidence",NA,NA
"119","CASK","LowEvidence",NA,NA
"120","CBL","LowEvidence",NA,NA
"121","CCDC88C","LowEvidence","monoallelic_and_biallelic",NA
"122","CHRNA2","LowEvidence","monoallelic_not_imprinted",NA
"123","CHRNA4","LowEvidence","monoallelic",NA
"124","CHRNB2","LowEvidence","monoallelic",NA
"125","CLN3","LowEvidence",NA,NA
"126","CLN5","LowEvidence",NA,NA
"127","CLN6","LowEvidence",NA,NA
"128","CLN8","LowEvidence",NA,NA
"129","COL4A1","LowEvidence",NA,NA
"130","COL4A2","LowEvidence",NA,NA
"131","CRH","LowEvidence",NA,NA
"132","CSNK1G1","LowEvidence",NA,NA
"133","CSTB","LowEvidence",NA,"Other - please provide details in the comments"
"134","CTSD","LowEvidence",NA,NA
"135","DEPDC5","LowEvidence",NA,NA
"136","EEF1A2","LowEvidence",NA,NA
"137","EFHC1","LowEvidence",NA,NA
"138","EPM2A","LowEvidence",NA,NA
"139","GABRD","LowEvidence",NA,NA
"140","GABRG2","LowEvidence",NA,NA
"141","GAMT","LowEvidence",NA,NA
"142","GATAD2B","LowEvidence",NA,NA
"143","GATM","LowEvidence",NA,NA
"144","GLRA1","LowEvidence",NA,NA
