"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","COQ8A","HighEvidence","biallelic",NA
"2","TWNK","HighEvidence","biallelic",NA
"3","AARS2","HighEvidence","biallelic",NA
"4","ABCD1","HighEvidence","xlinked_biallelic",NA
"5","ACOX1","HighEvidence","biallelic",NA
"6","ADAR","HighEvidence","monoallelic_and_biallelic",NA
"7","AIMP1","HighEvidence","biallelic",NA
"8","ALDH3A2","HighEvidence","biallelic",NA
"9","ARSA","HighEvidence","biallelic",NA
"10","ASPA","HighEvidence","biallelic",NA
"11","BCAP31","HighEvidence","xlinked_biallelic",NA
"12","BCS1L","HighEvidence","biallelic",NA
"13","CIC","HighEvidence","monoallelic",NA
"14","CLCN2","HighEvidence","biallelic",NA
"15","COQ2","HighEvidence","biallelic",NA
"16","COX10","HighEvidence","biallelic",NA
"17","COX15","HighEvidence","biallelic",NA
"18","CSF1R","HighEvidence","monoallelic",NA
"19","CYP27A1","HighEvidence","biallelic",NA
"20","D2HGDH","HighEvidence","biallelic",NA
"21","DARS","HighEvidence","biallelic",NA
"22","DARS2","HighEvidence","biallelic",NA
"23","DGUOK","HighEvidence","biallelic",NA
"24","DPYD","HighEvidence","biallelic",NA
"25","EARS2","HighEvidence","biallelic",NA
"26","EIF2B1","HighEvidence","biallelic",NA
"27","EIF2B2","HighEvidence","biallelic",NA
"28","EIF2B3","HighEvidence","biallelic",NA
"29","EIF2B4","HighEvidence","biallelic",NA
"30","EIF2B5","HighEvidence","biallelic",NA
"31","ERCC6","HighEvidence","biallelic",NA
"32","ERCC8","HighEvidence","biallelic",NA
"33","ETFDH","HighEvidence","biallelic",NA
"34","FAM126A","HighEvidence","biallelic",NA
"35","FLVCR2","HighEvidence","biallelic",NA
"36","FOLR1","HighEvidence","biallelic",NA
"37","FUCA1","HighEvidence","biallelic",NA
"38","GALC","HighEvidence","biallelic",NA
"39","GBE1","HighEvidence","biallelic",NA
"40","GFAP","HighEvidence","monoallelic","Other - please provide details in the comments"
"41","GFM1","HighEvidence","biallelic",NA
"42","GJA1","HighEvidence","monoallelic_and_biallelic",NA
"43","GJB1","HighEvidence","xlinked_monoallelic",NA
"44","GJC2","HighEvidence","biallelic",NA
"45","HEPACAM","HighEvidence","monoallelic_and_biallelic",NA
"46","HSD17B4","HighEvidence","biallelic",NA
"47","IFIH1","HighEvidence","monoallelic",NA
"48","L2HGDH","HighEvidence","biallelic",NA
"49","LAMB1","HighEvidence","biallelic",NA
"50","LMNB1","HighEvidence","monoallelic","Other - please provide details in the comments"
"51","LYRM7","HighEvidence","biallelic",NA
"52","MCOLN1","HighEvidence","biallelic",NA
"53","MEF2C","HighEvidence","monoallelic",NA
"54","MLC1","HighEvidence","biallelic",NA
"55","MPLKIP","HighEvidence","biallelic",NA
"56","MTFMT","HighEvidence","biallelic",NA
"57","NDUFAF1","HighEvidence","biallelic",NA
"58","NDUFAF3","HighEvidence","biallelic",NA
"59","NDUFS1","HighEvidence","biallelic",NA
"60","NDUFS2","HighEvidence","biallelic",NA
"61","NDUFS4","HighEvidence","biallelic",NA
"62","NDUFS7","HighEvidence","biallelic",NA
"63","NDUFS8","HighEvidence","biallelic",NA
"64","NDUFV1","HighEvidence","biallelic",NA
"65","NKX6-2","HighEvidence","biallelic",NA
"66","NUBPL","HighEvidence","biallelic",NA
"67","PAFAH1B1","HighEvidence","monoallelic",NA
"68","PEX1","HighEvidence","biallelic",NA
"69","PEX10","HighEvidence","biallelic",NA
"70","PEX12","HighEvidence","biallelic",NA
"71","PEX13","HighEvidence","biallelic",NA
"72","PEX16","HighEvidence","biallelic",NA
"73","PEX2","HighEvidence","biallelic",NA
"74","PEX26","HighEvidence","biallelic",NA
"75","PEX3","HighEvidence","biallelic",NA
"76","PEX5","HighEvidence","biallelic",NA
"77","PEX6","HighEvidence","biallelic",NA
"78","PLP1","HighEvidence","xlinked_biallelic",NA
"79","POLG","HighEvidence","biallelic",NA
"80","POLG2","HighEvidence","monoallelic_not_imprinted",NA
"81","POLR1C","HighEvidence","biallelic",NA
"82","POLR3A","HighEvidence","biallelic",NA
"83","POLR3B","HighEvidence","biallelic",NA
"84","PSAP","HighEvidence","biallelic",NA
"85","PYCR2","HighEvidence","biallelic",NA
"86","RARS","HighEvidence","biallelic",NA
"87","RNASEH2A","HighEvidence","biallelic",NA
"88","RNASEH2B","HighEvidence","biallelic",NA
"89","RNASEH2C","HighEvidence","biallelic",NA
"90","RNASET2","HighEvidence","biallelic",NA
"91","RRM2B","HighEvidence","biallelic",NA
"92","SAMHD1","HighEvidence","biallelic",NA
"93","SCO1","HighEvidence","biallelic",NA
"94","SCO2","HighEvidence","biallelic",NA
"95","SCP2","HighEvidence","biallelic",NA
"96","SDHAF1","HighEvidence","biallelic",NA
"97","SDHB","HighEvidence","biallelic",NA
"98","SLC16A2","HighEvidence","xlinked_monoallelic",NA
"99","SLC17A5","HighEvidence","biallelic",NA
"100","SLC25A12","HighEvidence","biallelic",NA
"101","SLC25A4","HighEvidence","biallelic",NA
"102","SOX10","HighEvidence","monoallelic",NA
"103","SUCLA2","HighEvidence","biallelic",NA
"104","SUMF1","HighEvidence","biallelic",NA
"105","SURF1","HighEvidence","biallelic",NA
"106","TACO1","HighEvidence","biallelic",NA
"107","TREX1","HighEvidence","monoallelic_and_biallelic",NA
"108","TUBB4A","HighEvidence","monoallelic",NA
"109","TYMP","HighEvidence","biallelic",NA
"110","ATPAF2","ModerateEvidence","biallelic",NA
"111","COQ9","ModerateEvidence","biallelic",NA
"112","MRPS16","ModerateEvidence","biallelic",NA
"113","PEX14","ModerateEvidence","biallelic",NA
"114","PEX19","ModerateEvidence","biallelic",NA
"115","TUFM","ModerateEvidence","biallelic",NA
"116","ADGRG1","LowEvidence","unknown",NA
"117","ARX","LowEvidence","xlinked_monoallelic",NA
"118","DCX","LowEvidence","xlinked_monoallelic",NA
"119","EGR2","LowEvidence",NA,NA
"120","HSPD1","LowEvidence",NA,NA
"121","HTRA1","LowEvidence",NA,NA
"122","ISCA2","LowEvidence","biallelic",NA
"123","JAM3","LowEvidence",NA,NA
"124","MFF","LowEvidence","biallelic",NA
"125","MPZ","LowEvidence","monoallelic_and_biallelic",NA
"126","NDE1","LowEvidence","biallelic",NA
"127","NOTCH3","LowEvidence",NA,NA
"128","PMP22","LowEvidence",NA,NA
"129","RELN","LowEvidence","biallelic",NA
"130","SDHD","LowEvidence","biallelic",NA
"131","SLC25A1","LowEvidence","biallelic",NA
"132","SNORD118","LowEvidence","biallelic","Other - please provide details in the comments"
"133","TREM2","LowEvidence",NA,NA
"134","TUBA1A","LowEvidence","monoallelic",NA
"135","TUBA8","LowEvidence",NA,NA
"136","TUBB2B","LowEvidence",NA,NA
