"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","ANO5","HighEvidence","biallelic",NA
"2","CAPN3","HighEvidence","biallelic",NA
"3","CAV3","HighEvidence","monoallelic_not_imprinted",NA
"4","COL6A1","HighEvidence","monoallelic_and_biallelic",NA
"5","COL6A2","HighEvidence","monoallelic_and_biallelic",NA
"6","COL6A3","HighEvidence","monoallelic_and_biallelic",NA
"7","DMD","HighEvidence","xlinked_monoallelic",NA
"8","DNAJB6","HighEvidence","monoallelic",NA
"9","DYSF","HighEvidence","biallelic",NA
"10","EMD","HighEvidence","xlinked_monoallelic",NA
"11","FHL1","HighEvidence","xlinked_monoallelic",NA
"12","FKRP","HighEvidence","biallelic",NA
"13","FKTN","HighEvidence","biallelic",NA
"14","FLNC","HighEvidence","monoallelic_not_imprinted",NA
"15","GAA","HighEvidence","biallelic",NA
"16","GMPPB","HighEvidence","biallelic",NA
"17","LMNA","HighEvidence","monoallelic_and_biallelic",NA
"18","MYOT","HighEvidence","monoallelic_not_imprinted",NA
"19","PLEC","HighEvidence","biallelic",NA
"20","POMGNT1","HighEvidence","biallelic",NA
"21","POMT1","HighEvidence","biallelic",NA
"22","POMT2","HighEvidence","biallelic",NA
"23","SGCA","HighEvidence","biallelic",NA
"24","SGCB","HighEvidence","biallelic",NA
"25","SGCD","HighEvidence","biallelic",NA
"26","SGCG","HighEvidence","biallelic",NA
"27","SYNE1","HighEvidence","monoallelic_not_imprinted",NA
"28","TCAP","HighEvidence","biallelic",NA
"29","TRAPPC11","HighEvidence","biallelic",NA
"30","TRIM32","HighEvidence","biallelic",NA
"31","VCP","HighEvidence","monoallelic_not_imprinted",NA
"32","HNRNPDL","ModerateEvidence","monoallelic",NA
"33","BVES","LowEvidence","biallelic",NA
"34","DAG1","LowEvidence","biallelic",NA
"35","DES","LowEvidence","monoallelic_and_biallelic",NA
"36","DUX4","LowEvidence","monoallelic_not_imprinted","Other - please provide details in the comments"
"37","GNE","LowEvidence","monoallelic_and_biallelic",NA
"38","ISPD","LowEvidence","biallelic",NA
"39","LIMS2","LowEvidence","biallelic",NA
"40","POMGNT2","LowEvidence","biallelic",NA
"41","POMK","LowEvidence","biallelic",NA
"42","SMCHD1","LowEvidence","Other - please specifiy in evaluation comments",NA
"43","SYNE2","LowEvidence","monoallelic_not_imprinted",NA
"44","TTN","LowEvidence","biallelic",NA
