"","GeneSymbol","LevelOfConfidence"
"1","ALS2","HighEvidence"
"2","ANG","HighEvidence"
"3","DCTN1","HighEvidence"
"4","FIG4","HighEvidence"
"5","FUS","HighEvidence"
"6","HNRNPA1","HighEvidence"
"7","OPTN","HighEvidence"
"8","PFN1","HighEvidence"
"9","SETX","HighEvidence"
"10","SIGMAR1","HighEvidence"
"11","SLC52A2","HighEvidence"
"12","SLC52A3","HighEvidence"
"13","SOD1","HighEvidence"
"14","TARDBP","HighEvidence"
"15","TBK1","HighEvidence"
"16","UBQLN2","HighEvidence"
"17","VAPB","HighEvidence"
"18","VCP","HighEvidence"
"19","NEFH","ModerateEvidence"
"20","ATXN2","LowEvidence"
"21","C9orf72","LowEvidence"
"22","CHCHD10","LowEvidence"
"23","CHMP2B","LowEvidence"
"24","ERBB4","LowEvidence"
"25","GRN","LowEvidence"
"26","HFE","LowEvidence"
"27","SLC52A1","LowEvidence"
"28","UNC13A","LowEvidence"
"29","VEGFA","LowEvidence"
