"","GeneSymbol","LevelOfConfidence"
"1","ADCY5","HighEvidence"
"2","ATP1A2","HighEvidence"
"3","ATP1A3","HighEvidence"
"4","ATP7B","HighEvidence"
"5","CACNA1A","HighEvidence"
"6","CACNB4","HighEvidence"
"7","GLRA1","HighEvidence"
"8","GLRB","HighEvidence"
"9","KCNA1","HighEvidence"
"10","KCNQ2","HighEvidence"
"11","KCNQ3","HighEvidence"
"12","PNKD","HighEvidence"
"13","PRRT2","HighEvidence"
"14","SCN1A","HighEvidence"
"15","SCN8A","HighEvidence"
"16","SLC1A3","HighEvidence"
"17","SLC2A1","HighEvidence"
"18","SLC6A5","HighEvidence"
"19","KCNK18","ModerateEvidence"
"20","HTT","LowEvidence"
"21","NKX2-1","LowEvidence"
"22","SCN9A","LowEvidence"
