"","GeneSymbol","LevelOfConfidence"
"1","ACTA2","HighEvidence"
"2","ACVRL1","HighEvidence"
"3","ATR","HighEvidence"
"4","CCM2","HighEvidence"
"5","CECR1","HighEvidence"
"6","CEP152","HighEvidence"
"7","COL3A1","HighEvidence"
"8","ELN","HighEvidence"
"9","ENG","HighEvidence"
"10","FLVCR2","HighEvidence"
"11","GUCY1A3","HighEvidence"
"12","HBB","HighEvidence"
"13","JAG1","HighEvidence"
"14","KRIT1","HighEvidence"
"15","NF1","HighEvidence"
"16","NOTCH3","HighEvidence"
"17","PCNT","HighEvidence"
"18","PDCD10","HighEvidence"
"19","PKD1","HighEvidence"
"20","PKD2","HighEvidence"
"21","RASA1","HighEvidence"
"22","SAMHD1","HighEvidence"
"23","SLC2A10","HighEvidence"
"24","SMAD3","HighEvidence"
"25","SMAD4","HighEvidence"
"26","TGFB2","HighEvidence"
"27","TGFBR1","HighEvidence"
"28","TGFBR2","HighEvidence"
"29","THSD1","HighEvidence"
"30","GDF2","ModerateEvidence"
"31","ABCC6","LowEvidence"
"32","ACE","LowEvidence"
"33","ADGRG1","LowEvidence"
"34","ANIB1","LowEvidence"
"35","ANTXR1","LowEvidence"
"36","ARX","LowEvidence"
"37","ATP7A","LowEvidence"
"38","BRCC3","LowEvidence"
"39","CENPJ","LowEvidence"
"40","CEP63","LowEvidence"
"41","COL4A1","LowEvidence"
"42","COL4A2","LowEvidence"
"43","CRB1","LowEvidence"
"44","DCX","LowEvidence"
"45","DNA2","LowEvidence"
"46","FBN1","LowEvidence"
"47","FLT4","LowEvidence"
"48","FOXF1","LowEvidence"
"49","GLA","LowEvidence"
"50","GLMN","LowEvidence"
"51","GNAQ","LowEvidence"
"52","HLA-B","LowEvidence"
"53","HLA-DQB1","LowEvidence"
"54","HLA-DRB1","LowEvidence"
"55","HTRA1","LowEvidence"
"56","IL6","LowEvidence"
"57","KDR","LowEvidence"
"58","LAMB1","LowEvidence"
"59","LAMC3","LowEvidence"
"60","LARGE","LowEvidence"
"61","MEF2C","LowEvidence"
"62","MYMY1","LowEvidence"
"63","MYMY3","LowEvidence"
"64","NDE1","LowEvidence"
"65","NIN","LowEvidence"
"66","OCLN","LowEvidence"
"67","OPHN1","LowEvidence"
"68","PAFAH1B1","LowEvidence"
"69","PIK3CA","LowEvidence"
"70","PIK3R2","LowEvidence"
"71","POMGNT1","LowEvidence"
"72","POMT1","LowEvidence"
"73","POMT2","LowEvidence"
"74","PTEN","LowEvidence"
"75","RBBP8","LowEvidence"
"76","RELN","LowEvidence"
"77","RNF213","LowEvidence"
"78","RTTN","LowEvidence"
"79","SMARCAL1","LowEvidence"
"80","SRPX2","LowEvidence"
"81","STAMBP","LowEvidence"
"82","TEK","LowEvidence"
"83","TMEM5","LowEvidence"
"84","TRAIP","LowEvidence"
"85","TUBA1A","LowEvidence"
"86","TUBA8","LowEvidence"
"87","TUBB","LowEvidence"
"88","TUBB2A","LowEvidence"
"89","TUBB2B","LowEvidence"
"90","TUBB3","LowEvidence"
"91","TUBG1","LowEvidence"
"92","VLDLR","LowEvidence"
"93","WDR62","LowEvidence"
