"","GeneSymbol","LevelOfConfidence"
"1","AARS","HighEvidence"
"2","AIFM1","HighEvidence"
"3","APTX","HighEvidence"
"4","ARHGEF10","HighEvidence"
"5","ATL1","HighEvidence"
"6","ATL3","HighEvidence"
"7","ATM","HighEvidence"
"8","ATP7A","HighEvidence"
"9","BICD2","HighEvidence"
"10","BSCL2","HighEvidence"
"11","C12orf65","HighEvidence"
"12","CHCHD10","HighEvidence"
"13","COX6A1","HighEvidence"
"14","DNM2","HighEvidence"
"15","DNMT1","HighEvidence"
"16","DYNC1H1","HighEvidence"
"17","EGR2","HighEvidence"
"18","FAM134B","HighEvidence"
"19","FBLN5","HighEvidence"
"20","FGD4","HighEvidence"
"21","FIG4","HighEvidence"
"22","GAN","HighEvidence"
"23","GARS","HighEvidence"
"24","GDAP1","HighEvidence"
"25","GJB1","HighEvidence"
"26","GLA","HighEvidence"
"27","HARS","HighEvidence"
"28","HINT1","HighEvidence"
"29","HK1","HighEvidence"
"30","HSPB1","HighEvidence"
"31","HSPB8","HighEvidence"
"32","IGHMBP2","HighEvidence"
"33","IKBKAP","HighEvidence"
"34","INF2","HighEvidence"
"35","KIF1A","HighEvidence"
"36","KIF5A","HighEvidence"
"37","LITAF","HighEvidence"
"38","LMNA","HighEvidence"
"39","LRSAM1","HighEvidence"
"40","MFN2","HighEvidence"
"41","MPV17","HighEvidence"
"42","MPZ","HighEvidence"
"43","MT-ATP6","HighEvidence"
"44","MTMR2","HighEvidence"
"45","NDRG1","HighEvidence"
"46","NEFL","HighEvidence"
"47","NGF","HighEvidence"
"48","NTRK1","HighEvidence"
"49","PDHA1","HighEvidence"
"50","PEX7","HighEvidence"
"51","PHYH","HighEvidence"
"52","PLEKHG5","HighEvidence"
"53","PMP22","HighEvidence"
"54","POLG","HighEvidence"
"55","PRDM12","HighEvidence"
"56","PRNP","HighEvidence"
"57","PRPS1","HighEvidence"
"58","PRX","HighEvidence"
"59","RAB7A","HighEvidence"
"60","REEP1","HighEvidence"
"61","SACS","HighEvidence"
"62","SBF2","HighEvidence"
"63","SCN11A","HighEvidence"
"64","SCN9A","HighEvidence"
"65","SEPT9","HighEvidence"
"66","SETX","HighEvidence"
"67","SH3TC2","HighEvidence"
"68","SIGMAR1","HighEvidence"
"69","SLC12A6","HighEvidence"
"70","SLC52A2","HighEvidence"
"71","SLC52A3","HighEvidence"
"72","SMN1","HighEvidence"
"73","SPAST","HighEvidence"
"74","SPG11","HighEvidence"
"75","SPTLC1","HighEvidence"
"76","SPTLC2","HighEvidence"
"77","TFG","HighEvidence"
"78","TRPV4","HighEvidence"
"79","TTR","HighEvidence"
"80","TUBB3","HighEvidence"
"81","TYMP","HighEvidence"
"82","VCP","HighEvidence"
"83","WNK1","HighEvidence"
"84","YARS","HighEvidence"
"85","MME","ModerateEvidence"
"86","MORC2","ModerateEvidence"
"87","ABCC9","LowEvidence"
"88","ACTC1","LowEvidence"
"89","ACTN2","LowEvidence"
"90","ADCK3","LowEvidence"
"91","ALDH3A2","LowEvidence"
"92","ANKRD1","LowEvidence"
"93","BAG3","LowEvidence"
"94","BRAF","LowEvidence"
"95","C10orf2","LowEvidence"
