"","GeneSymbol","LevelOfConfidence"
"1","B3GALNT2","HighEvidence"
"2","B4GAT1","HighEvidence"
"3","CHKB","HighEvidence"
"4","COL12A1","HighEvidence"
"5","COL6A1","HighEvidence"
"6","COL6A2","HighEvidence"
"7","COL6A3","HighEvidence"
"8","DAG1","HighEvidence"
"9","DMD","HighEvidence"
"10","DOLK","HighEvidence"
"11","DPM2","HighEvidence"
"12","FKRP","HighEvidence"
"13","FKTN","HighEvidence"
"14","GMPPB","HighEvidence"
"15","INPP5K","HighEvidence"
"16","ISPD","HighEvidence"
"17","ITGA7","HighEvidence"
"18","LAMA2","HighEvidence"
"19","LARGE","HighEvidence"
"20","LMNA","HighEvidence"
"21","MICU1","HighEvidence"
"22","POMGNT1","HighEvidence"
"23","POMGNT2","HighEvidence"
"24","POMK","HighEvidence"
"25","POMT1","HighEvidence"
"26","POMT2","HighEvidence"
"27","RYR1","HighEvidence"
"28","SEPN1","HighEvidence"
"29","SYNE1","HighEvidence"
"30","TMEM5","HighEvidence"
"31","ACTA1","ModerateEvidence"
"32","COL4A1","ModerateEvidence"
"33","DPM1","ModerateEvidence"
"34","DPM3","ModerateEvidence"
"35","DYSF","ModerateEvidence"
"36","TCAP","ModerateEvidence"
"37","ANO5","LowEvidence"
"38","COL4A2","LowEvidence"
"39","DUX4","LowEvidence"
"40","EMD","LowEvidence"
"41","PABPN1","LowEvidence"
"42","PLEC","LowEvidence"
"43","SMCHD1","LowEvidence"
"44","SYNE2","LowEvidence"
"45","TMEM43","LowEvidence"
