"","GeneSymbol","LevelOfConfidence"
"1","AGRN","HighEvidence"
"2","CHAT","HighEvidence"
"3","CHRNA1","HighEvidence"
"4","CHRNB1","HighEvidence"
"5","CHRND","HighEvidence"
"6","CHRNE","HighEvidence"
"7","CHRNG","HighEvidence"
"8","COL13A1","HighEvidence"
"9","COLQ","HighEvidence"
"10","DOK7","HighEvidence"
"11","DPAGT1","HighEvidence"
"12","GFPT1","HighEvidence"
"13","GMPPB","HighEvidence"
"14","LRP4","HighEvidence"
"15","MUSK","HighEvidence"
"16","PLEC","HighEvidence"
"17","RAPSN","HighEvidence"
"18","SCN4A","HighEvidence"
"19","SLC18A3","HighEvidence"
"20","SLC5A7","HighEvidence"
"21","ALG2","ModerateEvidence"
"22","MYO9A","ModerateEvidence"
"23","ALG14","LowEvidence"
"24","LAMB2","LowEvidence"
"25","PREPL","LowEvidence"
"26","SNAP25","LowEvidence"
"27","SYT2","LowEvidence"
"28","GRN","LowEvidence"
