"","GeneSymbol","LevelOfConfidence"
"1","ACTA1","HighEvidence"
"2","ANO5","HighEvidence"
"3","BAG3","HighEvidence"
"4","CNBP","HighEvidence"
"5","CRYAB","HighEvidence"
"6","DES","HighEvidence"
"7","DNAJB6","HighEvidence"
"8","DNM2","HighEvidence"
"9","DYSF","HighEvidence"
"10","FHL1","HighEvidence"
"11","FLNC","HighEvidence"
"12","GNE","HighEvidence"
"13","HSPB1","HighEvidence"
"14","HSPB8","HighEvidence"
"15","LDB3","HighEvidence"
"16","MATR3","HighEvidence"
"17","MYH7","HighEvidence"
"18","MYOT","HighEvidence"
"19","NEB","HighEvidence"
"20","SQSTM1","HighEvidence"
"21","TIA1","HighEvidence"
"22","TTN","HighEvidence"
"23","VCP","HighEvidence"
"24","DMD","LowEvidence"
"25","DMPK","LowEvidence"
"26","DUX4","LowEvidence"
"27","KLHL9","LowEvidence"
