"","GeneSymbol","LevelOfConfidence"
"1","ANO3","HighEvidence"
"2","APTX","HighEvidence"
"3","ATM","HighEvidence"
"4","ATP13A2","HighEvidence"
"5","ATP1A3","HighEvidence"
"6","ATP7B","HighEvidence"
"7","C19orf12","HighEvidence"
"8","CHMP2B","HighEvidence"
"9","COASY","HighEvidence"
"10","CP","HighEvidence"
"11","DCAF17","HighEvidence"
"12","FA2H","HighEvidence"
"13","FBXO7","HighEvidence"
"14","FTL","HighEvidence"
"15","GCH1","HighEvidence"
"16","KMT2B","HighEvidence"
"17","PANK2","HighEvidence"
"18","PARK2","HighEvidence"
"19","PINK1","HighEvidence"
"20","PLA2G6","HighEvidence"
"21","PNKD","HighEvidence"
"22","PRKRA","HighEvidence"
"23","PRRT2","HighEvidence"
"24","SGCE","HighEvidence"
"25","SLC2A1","HighEvidence"
"26","SLC30A10","HighEvidence"
"27","SLC6A3","HighEvidence"
"28","SPR","HighEvidence"
"29","SYNJ1","HighEvidence"
"30","TH","HighEvidence"
"31","THAP1","HighEvidence"
"32","TOR1A","HighEvidence"
"33","TUBB4A","HighEvidence"
"34","VPS13A","HighEvidence"
"35","WDR45","HighEvidence"
"36","WDR73","HighEvidence"
"37","CIZ1","ModerateEvidence"
"38","GNAL","ModerateEvidence"
"39","TAF1","ModerateEvidence"
"40","ACTB","LowEvidence"
"41","ADAR","LowEvidence"
"42","AFG3L2","LowEvidence"
"43","AP1S2","LowEvidence"
"44","ARSA","LowEvidence"
"45","ARX","LowEvidence"
"46","ATP1A2","LowEvidence"
"47","AUH","LowEvidence"
"48","BCAP31","LowEvidence"
"49","CACNA1A","LowEvidence"
"50","CYP27A1","LowEvidence"
"51","DCTN1","LowEvidence"
"52","DDC","LowEvidence"
"53","DLAT","LowEvidence"
"54","DRD2","LowEvidence"
"55","DRD5","LowEvidence"
"56","EARS2","LowEvidence"
"57","ERCC6","LowEvidence"
"58","FASTKD2","LowEvidence"
"59","FOXG1","LowEvidence"
"60","FOXRED1","LowEvidence"
"61","GAMT","LowEvidence"
"62","GCDH","LowEvidence"
"63","HPRT1","LowEvidence"
"64","KCNQ2","LowEvidence"
"65","L2HGDH","LowEvidence"
"66","MAT1A","LowEvidence"
"67","MCOLN1","LowEvidence"
"68","MMADHC","LowEvidence"
"69","MPV17","LowEvidence"
"70","MR1","LowEvidence"
"71","MT-ND6","LowEvidence"
"72","NPC2","LowEvidence"
"73","PARK7","LowEvidence"
"74","PDGFRB","LowEvidence"
"75","PDHX","LowEvidence"
"76","PLP1","LowEvidence"
"77","PNPT1","LowEvidence"
"78","PSEN1","LowEvidence"
"79","PTEN","LowEvidence"
"80","PTS","LowEvidence"
"81","QDPR","LowEvidence"
"82","RNASEH2A","LowEvidence"
"83","RNASEH2B","LowEvidence"
"84","RNASEH2C","LowEvidence"
"85","SAMHD1","LowEvidence"
"86","SCP2","LowEvidence"
"87","SDHAF1","LowEvidence"
"88","SERAC1","LowEvidence"
"89","SLC19A3","LowEvidence"
"90","SLC20A2","LowEvidence"
"91","SLC46A1","LowEvidence"
"92","SUCLA2","LowEvidence"
"93","SUOX","LowEvidence"
"94","TIMM8A","LowEvidence"
"95","TPK1","LowEvidence"
"96","TREM2","LowEvidence"
"97","TREX1","LowEvidence"
"98","VPS37A","LowEvidence"
