"","GeneSymbol","LevelOfConfidence"
"1","AFG3L2","HighEvidence"
"2","AIMP1","HighEvidence"
"3","ALDH18A1","HighEvidence"
"4","ALS2","HighEvidence"
"5","AP4B1","HighEvidence"
"6","AP4E1","HighEvidence"
"7","AP4M1","HighEvidence"
"8","AP4S1","HighEvidence"
"9","ATL1","HighEvidence"
"10","B4GALNT1","HighEvidence"
"11","BSCL2","HighEvidence"
"12","C12orf65","HighEvidence"
"13","C19orf12","HighEvidence"
"14","CYP2U1","HighEvidence"
"15","CYP7B1","HighEvidence"
"16","DDHD1","HighEvidence"
"17","DDHD2","HighEvidence"
"18","FA2H","HighEvidence"
"19","GBA2","HighEvidence"
"20","HSPD1","HighEvidence"
"21","KIAA0196","HighEvidence"
"22","KIF1A","HighEvidence"
"23","KIF5A","HighEvidence"
"24","L1CAM","HighEvidence"
"25","NIPA1","HighEvidence"
"26","PLP1","HighEvidence"
"27","PNPLA6","HighEvidence"
"28","REEP1","HighEvidence"
"29","RTN2","HighEvidence"
"30","SACS","HighEvidence"
"31","SLC16A2","HighEvidence"
"32","SPAST","HighEvidence"
"33","SPG11","HighEvidence"
"34","SPG20","HighEvidence"
"35","SPG21","HighEvidence"
"36","SPG7","HighEvidence"
"37","ZFYVE26","HighEvidence"
"38","AMPD2","LowEvidence"
"39","AP5Z1","LowEvidence"
"40","ARL6IP1","LowEvidence"
"41","ARSI","LowEvidence"
"42","CCT5","LowEvidence"
"43","ENTPD1","LowEvidence"
"44","ERLIN2","LowEvidence"
"45","GAD1","LowEvidence"
"46","GJC2","LowEvidence"
"47","KIF1C","LowEvidence"
"48","MARS","LowEvidence"
"49","MARS2","LowEvidence"
"50","MTPAP","LowEvidence"
"51","NT5C2","LowEvidence"
"52","PGAP1","LowEvidence"
"53","PSEN1","LowEvidence"
"54","SLC33A1","LowEvidence"
"55","SPG14","LowEvidence"
"56","SPG16","LowEvidence"
"57","SPG19","LowEvidence"
"58","SPG23","LowEvidence"
"59","SPG24","LowEvidence"
"60","SPG25","LowEvidence"
"61","SPG27","LowEvidence"
"62","SPG29","LowEvidence"
"63","SPG32","LowEvidence"
"64","SPG34","LowEvidence"
"65","SPG36","LowEvidence"
"66","SPG37","LowEvidence"
"67","SPG38","LowEvidence"
"68","SPG41","LowEvidence"
"69","SPG9","LowEvidence"
"70","TECPR2","LowEvidence"
"71","TFG","LowEvidence"
"72","USP8","LowEvidence"
"73","VAMP1","LowEvidence"
"74","VPS37A","LowEvidence"
"75","WDR48","LowEvidence"
"76","ZEB2","LowEvidence"
"77","ZFYVE27","LowEvidence"
