"","GeneSymbol","LevelOfConfidence"
"1","ANO5","HighEvidence"
"2","CAPN3","HighEvidence"
"3","CAV3","HighEvidence"
"4","COL6A1","HighEvidence"
"5","COL6A2","HighEvidence"
"6","COL6A3","HighEvidence"
"7","DMD","HighEvidence"
"8","DNAJB6","HighEvidence"
"9","DYSF","HighEvidence"
"10","EMD","HighEvidence"
"11","FHL1","HighEvidence"
"12","FKRP","HighEvidence"
"13","FKTN","HighEvidence"
"14","FLNC","HighEvidence"
"15","GAA","HighEvidence"
"16","GMPPB","HighEvidence"
"17","LMNA","HighEvidence"
"18","MYOT","HighEvidence"
"19","PLEC","HighEvidence"
"20","POMGNT1","HighEvidence"
"21","POMT1","HighEvidence"
"22","POMT2","HighEvidence"
"23","SGCA","HighEvidence"
"24","SGCB","HighEvidence"
"25","SGCD","HighEvidence"
"26","SGCG","HighEvidence"
"27","SYNE1","HighEvidence"
"28","TCAP","HighEvidence"
"29","TRIM32","HighEvidence"
"30","VCP","HighEvidence"
"31","BVES","LowEvidence"
"32","DAG1","LowEvidence"
"33","DES","LowEvidence"
"34","GNE","LowEvidence"
"35","ISPD","LowEvidence"
"36","LIMS2","LowEvidence"
"37","POMGNT2","LowEvidence"
"38","POMK","LowEvidence"
"39","SMCHD1","LowEvidence"
"40","SYNE2","LowEvidence"
"41","TRAPPC11","LowEvidence"
"42","TTN","LowEvidence"
