"","GeneSymbol","LevelOfConfidence"
"1","ACTB","HighEvidence"
"2","ACTG1","HighEvidence"
"3","ADGRG1","HighEvidence"
"4","AKT3","HighEvidence"
"5","ARFGEF2","HighEvidence"
"6","ARX","HighEvidence"
"7","ASPM","HighEvidence"
"8","B3GALNT2","HighEvidence"
"9","CCND2","HighEvidence"
"10","CSNK2A1","HighEvidence"
"11","DAG1","HighEvidence"
"12","DCX","HighEvidence"
"13","DYNC1H1","HighEvidence"
"14","FKRP","HighEvidence"
"15","FKTN","HighEvidence"
"16","FLNA","HighEvidence"
"17","GPSM2","HighEvidence"
"18","ISPD","HighEvidence"
"19","KATNB1","HighEvidence"
"20","KIAA1279","HighEvidence"
"21","KIF2A","HighEvidence"
"22","KIF5C","HighEvidence"
"23","LAMB1","HighEvidence"
"24","LAMC3","HighEvidence"
"25","LARGE","HighEvidence"
"26","NDE1","HighEvidence"
"27","NEDD4L","HighEvidence"
"28","OCLN","HighEvidence"
"29","PAFAH1B1","HighEvidence"
"30","PIK3CA","HighEvidence"
"31","PIK3R2","HighEvidence"
"32","POMGNT1","HighEvidence"
"33","POMGNT2","HighEvidence"
"34","POMT1","HighEvidence"
"35","POMT2","HighEvidence"
"36","RELN","HighEvidence"
"37","RTTN","HighEvidence"
"38","TMEM5","HighEvidence"
"39","TUBA1A","HighEvidence"
"40","TUBA8","HighEvidence"
"41","TUBB2A","HighEvidence"
"42","TUBB2B","HighEvidence"
"43","TUBB3","HighEvidence"
"44","TUBG1","HighEvidence"
"45","WDR62","HighEvidence"
"46","TUBB","ModerateEvidence"
"47","B4GAT1","LowEvidence"
"48","ERMARD","LowEvidence"
"49","GMPPB","LowEvidence"
"50","POMK","LowEvidence"
