"","GeneSymbol","LevelOfConfidence"
"1","ATP13A2","HighEvidence"
"2","ATP1A3","HighEvidence"
"3","C19orf12","HighEvidence"
"4","CSF1R","HighEvidence"
"5","DCTN1","HighEvidence"
"6","DNAJC6","HighEvidence"
"7","FBXO7","HighEvidence"
"8","FTL","HighEvidence"
"9","GCH1","HighEvidence"
"10","GRN","HighEvidence"
"11","LRRK2","HighEvidence"
"12","MAPT","HighEvidence"
"13","PANK2","HighEvidence"
"14","PARK2","HighEvidence"
"15","PARK7","HighEvidence"
"16","PINK1","HighEvidence"
"17","PLA2G6","HighEvidence"
"18","PRKRA","HighEvidence"
"19","RAB39B","HighEvidence"
"20","SLC30A10","HighEvidence"
"21","SLC6A3","HighEvidence"
"22","SNCA","HighEvidence"
"23","SPG11","HighEvidence"
"24","SPR","HighEvidence"
"25","SYNJ1","HighEvidence"
"26","TH","HighEvidence"
"27","TUBB4A","HighEvidence"
"28","VPS13A","HighEvidence"
"29","VPS35","HighEvidence"
"30","WDR45","HighEvidence"
"31","CHCHD2","ModerateEvidence"
"32","GBA","ModerateEvidence"
"33","TAF1","ModerateEvidence"
"34","ANO3","LowEvidence"
"35","ATXN2","LowEvidence"
"36","ATXN3","LowEvidence"
"37","C9orf72","LowEvidence"
"38","EIF4G1","LowEvidence"
"39","GIGYF2","LowEvidence"
"40","GNAL","LowEvidence"
"41","HTRA2","LowEvidence"
"42","HTT","LowEvidence"
"43","IPPK","LowEvidence"
"44","NR4A2","LowEvidence"
"45","SGCE","LowEvidence"
"46","SLC41A1","LowEvidence"
"47","SNCAIP","LowEvidence"
"48","TBP","LowEvidence"
"49","THAP1","LowEvidence"
"50","TOR1A","LowEvidence"
"51","UCHL1","LowEvidence"
"52","C9ORF72*","LowEvidence"
