"","GeneSymbol","LevelOfConfidence"
"1","ADAR","HighEvidence"
"2","AP1S2","HighEvidence"
"3","ATP13A2","HighEvidence"
"4","ATP7B","HighEvidence"
"5","BCS1L","HighEvidence"
"6","C19orf12","HighEvidence"
"7","COASY","HighEvidence"
"8","COX10","HighEvidence"
"9","COX15","HighEvidence"
"10","CP","HighEvidence"
"11","DLAT","HighEvidence"
"12","ETHE1","HighEvidence"
"13","FA2H","HighEvidence"
"14","FOXP2","HighEvidence"
"15","FTL","HighEvidence"
"16","GCDH","HighEvidence"
"17","HIBCH","HighEvidence"
"18","IFIH1","HighEvidence"
"19","ISG15","HighEvidence"
"20","IVD","HighEvidence"
"21","KMT2B","HighEvidence"
"22","MECR","HighEvidence"
"23","MT-ATP6","HighEvidence"
"24","MT-ND1","HighEvidence"
"25","MT-ND6","HighEvidence"
"26","MUT","HighEvidence"
"27","NDUFA1","HighEvidence"
"28","NDUFA10","HighEvidence"
"29","NDUFAF2","HighEvidence"
"30","NDUFAF6","HighEvidence"
"31","NDUFS4","HighEvidence"
"32","NDUFS7","HighEvidence"
"33","NDUFS8","HighEvidence"
"34","NDUFV1","HighEvidence"
"35","OCLN","HighEvidence"
"36","PANK2","HighEvidence"
"37","PCCA","HighEvidence"
"38","PCCB","HighEvidence"
"39","PDE10A","HighEvidence"
"40","PDGFB","HighEvidence"
"41","PDGFRB","HighEvidence"
"42","PDHA1","HighEvidence"
"43","PDP1","HighEvidence"
"44","PLA2G6","HighEvidence"
"45","PRNP","HighEvidence"
"46","RAB39B","HighEvidence"
"47","SDHA","HighEvidence"
"48","SERAC1","HighEvidence"
"49","SLC19A3","HighEvidence"
"50","SLC20A2","HighEvidence"
"51","SLC25A19","HighEvidence"
"52","SLC30A10","HighEvidence"
"53","SLC39A14","HighEvidence"
"54","SUCLA2","HighEvidence"
"55","SUCLG1","HighEvidence"
"56","SURF1","HighEvidence"
"57","TOR1A","HighEvidence"
"58","TUBA1A","HighEvidence"
"59","TUBB4A","HighEvidence"
"60","VAC14","HighEvidence"
"61","VPS13A","HighEvidence"
"62","WDR45","HighEvidence"
"63","XPR1","HighEvidence"
"64","GFAP","ModerateEvidence"
"65","AIFM1","LowEvidence"
"66","BDNF","LowEvidence"
"67","DCAF10","LowEvidence"
"68","HEXA","LowEvidence"
"69","HTT","LowEvidence"
"70","NDUFA2","LowEvidence"
"71","NDUFA9","LowEvidence"
"72","NDUFS3","LowEvidence"
"73","NUP62","LowEvidence"
"74","PDX1","LowEvidence"
"75","SUOX","LowEvidence"
