,GeneSymbol,LevelOfConfidence
1,ACTA1,HighEvidence
2,BIN1,HighEvidence
3,CACNA1S,HighEvidence
4,CFL2,HighEvidence
5,COL12A1,HighEvidence
6,COL6A1,HighEvidence
7,COL6A2,HighEvidence
8,COL6A3,HighEvidence
9,DNM2,HighEvidence
10,EPG5,HighEvidence
11,FKBP14,HighEvidence
12,KBTBD13,HighEvidence
13,KLHL40,HighEvidence
14,KLHL41,HighEvidence
15,LMNA,HighEvidence
16,LMOD3,HighEvidence
17,MAP3K20*,HighEvidence
18,MEGF10,HighEvidence
19,MICU1,HighEvidence
20,MTM1,HighEvidence
21,MYH2,HighEvidence
22,MYH3,HighEvidence
23,MYH7,HighEvidence
24,MYH8,HighEvidence
25,MYO18B,HighEvidence
26,NEB,HighEvidence
27,ORAI1,HighEvidence
28,RYR1,HighEvidence
29,SCN4A,HighEvidence
30,SEPN1,HighEvidence
31,SLC25A4,HighEvidence
32,SPEG,HighEvidence
33,STAC3,HighEvidence
34,STIM1,HighEvidence
35,TNNT1,HighEvidence
36,TPM2,HighEvidence
37,TPM3,HighEvidence
38,TTN,HighEvidence
39,VMA21,HighEvidence
40,AGRN,HighEvidence
41,CHAT,HighEvidence
42,CHRNA1,HighEvidence
43,CHRNB1,HighEvidence
44,CHRND,HighEvidence
45,CHRNE,HighEvidence
46,CHRNG,HighEvidence
47,COL13A1,HighEvidence
48,COLQ,HighEvidence
49,DOK7,HighEvidence
50,DPAGT1,HighEvidence
51,GFPT1,HighEvidence
52,GMPPB,HighEvidence
53,LRP4,HighEvidence
54,MUSK,HighEvidence
55,PLEC,HighEvidence
56,RAPSN,HighEvidence
57,SLC18A3,HighEvidence
58,SLC5A7,HighEvidence
59,ANO3,HighEvidence
60,APTX,HighEvidence
61,ATM,HighEvidence
62,ATP13A2,HighEvidence
63,ATP1A3,HighEvidence
64,ATP7B,HighEvidence
65,C19orf12,HighEvidence
66,CHMP2B,HighEvidence
67,COASY,HighEvidence
68,CP,HighEvidence
69,DCAF17,HighEvidence
70,FA2H,HighEvidence
71,FBXO7,HighEvidence
72,FTL,HighEvidence
73,GCH1,HighEvidence
74,KMT2B,HighEvidence
75,PANK2,HighEvidence
76,PARK2,HighEvidence
77,PINK1,HighEvidence
78,PLA2G6,HighEvidence
79,PNKD,HighEvidence
80,PRKRA,HighEvidence
81,PRRT2,HighEvidence
82,SGCE,HighEvidence
83,SLC2A1,HighEvidence
84,SLC30A10,HighEvidence
85,SLC6A3,HighEvidence
86,SPR,HighEvidence
87,SYNJ1,HighEvidence
88,TH,HighEvidence
89,THAP1,HighEvidence
90,TOR1A,HighEvidence
91,TUBB4A,HighEvidence
92,VPS13A,HighEvidence
93,WDR45,HighEvidence
94,WDR73,HighEvidence
95,TSC1,HighEvidence
96,TSC2,HighEvidence
97,AR,HighEvidence
