"","GeneSymbol","LevelOfConfidence"
"1","LARGE1","HighEvidence"
"2","POMT2","HighEvidence"
"3","VLDLR","HighEvidence"
"4","POMT1","HighEvidence"
"5","CASK","HighEvidence"
"6","ISPD","HighEvidence"
"7","FKTN","HighEvidence"
"8","TSEN2","HighEvidence"
"9","EXOSC3","HighEvidence"
"10","RARS2","HighEvidence"
"11","POMGNT2","HighEvidence"
"12","CWF19L1","HighEvidence"
"13","DKC1","HighEvidence"
"14","TUBB2B","HighEvidence"
"15","ROBO3","HighEvidence"
"16","CLP1","HighEvidence"
"17","TSEN54","HighEvidence"
"18","OPHN1","HighEvidence"
"19","AMPD2","HighEvidence"
"20","POMGNT1","HighEvidence"
"21","TSEN34","HighEvidence"
"22","TINF2","HighEvidence"
"23","TUBA8","HighEvidence"
"24","B3GALNT2","HighEvidence"
"25","SPTBN2","HighEvidence"
"26","ADGRG1","HighEvidence"
"27","RELN","HighEvidence"
"28","SNX14","HighEvidence"
"29","TUBB3","HighEvidence"
"30","TOE1","HighEvidence"
"31","PTF1A","HighEvidence"
"32","CHMP1A","HighEvidence"
"33","TMEM5","HighEvidence"
"34","GMPPB","HighEvidence"
"35","VRK1","HighEvidence"
"36","SEPSECS","HighEvidence"
"37","TUBA1A","HighEvidence"
"38","KCNC3","HighEvidence"
"39","WDR81","HighEvidence"
"40","FKRP","HighEvidence"
"41","ITPR1","HighEvidence"
"42","PHGDH","ModerateEvidence"
"43","ATP8A2","ModerateEvidence"
"44","TERT","ModerateEvidence"
"45","DCC","ModerateEvidence"
"46","VPS53","ModerateEvidence"
"47","DAG1","ModerateEvidence"
"48","CA8","ModerateEvidence"
"49","B4GAT1","ModerateEvidence"
"50","STUB1","LowEvidence"
"51","PCLO","LowEvidence"
"52","BRF1","LowEvidence"
"53","TSEN15","LowEvidence"
"54","PMPCA","LowEvidence"
"55","TUBB","LowEvidence"
"56","CDK5","LowEvidence"
"57","POMK","LowEvidence"
"58","FRMD4A","LowEvidence"
"59","PI4KA","LowEvidence"
"60","EXOSC8","LowEvidence"
