"","GeneSymbol","LevelOfConfidence"
"1","MYMK","HighEvidence"
"2","SELENON","HighEvidence"
"3","LARGE1","HighEvidence"
"4","MICU1","HighEvidence"
"5","SYNE1","HighEvidence"
"6","POMK","HighEvidence"
"7","POMT2","HighEvidence"
"8","DPM2","HighEvidence"
"9","RYR1","HighEvidence"
"10","DMD","HighEvidence"
"11","TMEM5","HighEvidence"
"12","GMPPB","HighEvidence"
"13","COL6A1","HighEvidence"
"14","COL12A1","HighEvidence"
"15","ITGA7","HighEvidence"
"16","FKRP","HighEvidence"
"17","COL6A3","HighEvidence"
"18","POMT1","HighEvidence"
"19","ISPD","HighEvidence"
"20","FKTN","HighEvidence"
"21","LAMA2","HighEvidence"
"22","POMGNT2","HighEvidence"
"23","INPP5K","HighEvidence"
"24","DAG1","HighEvidence"
"25","COL6A2","HighEvidence"
"26","POMGNT1","HighEvidence"
"27","CHKB","HighEvidence"
"28","B3GALNT2","HighEvidence"
"29","LMNA","HighEvidence"
"30","DOLK","HighEvidence"
"31","B4GAT1","HighEvidence"
"32","ACTA1","ModerateEvidence"
"33","TCAP","ModerateEvidence"
"34","DPM3","ModerateEvidence"
"35","COL4A1","ModerateEvidence"
"36","DPM1","ModerateEvidence"
"37","DYSF","ModerateEvidence"
"38","ANO5","LowEvidence"
"39","COL4A2","LowEvidence"
"40","TMEM43","LowEvidence"
"41","SYNE2","LowEvidence"
"42","PLEC","LowEvidence"
"43","TRAPPC11","LowEvidence"
"44","EMD","LowEvidence"
"45","DUX4","LowEvidence"
"46","PABPN1","LowEvidence"
"47","SMCHD1","LowEvidence"
