"","GeneSymbol","LevelOfConfidence"
"1","DNM2","HighEvidence"
"2","DYSF","HighEvidence"
"3","MYOT","HighEvidence"
"4","HSPB1","HighEvidence"
"5","CRYAB","HighEvidence"
"6","CNBP","HighEvidence"
"7","VCP","HighEvidence"
"8","TTN","HighEvidence"
"9","ACTA1","HighEvidence"
"10","SQSTM1","HighEvidence"
"11","FLNC","HighEvidence"
"12","NEB","HighEvidence"
"13","GNE","HighEvidence"
"14","BAG3","HighEvidence"
"15","ANO5","HighEvidence"
"16","HSPB8","HighEvidence"
"17","FHL1","HighEvidence"
"18","TIA1","HighEvidence"
"19","LDB3","HighEvidence"
"20","MYH7","HighEvidence"
"21","DES","HighEvidence"
"22","DNAJB6","HighEvidence"
"23","MATR3","HighEvidence"
"24","DMD","LowEvidence"
"25","DUX4","LowEvidence"
"26","KLHL9","LowEvidence"
"27","DMPK","LowEvidence"
