"","GeneSymbol","LevelOfConfidence"
"1","PSEN2","HighEvidence"
"2","CHMP2B","HighEvidence"
"3","DNMT1","HighEvidence"
"4","NHLRC1","HighEvidence"
"5","MAPT","HighEvidence"
"6","ITM2B","HighEvidence"
"7","TBK1","HighEvidence"
"8","VCP","HighEvidence"
"9","GRN","HighEvidence"
"10","TYROBP","HighEvidence"
"11","TARDBP","HighEvidence"
"12","APP","HighEvidence"
"13","NOTCH3","HighEvidence"
"14","PSEN1","HighEvidence"
"15","UBQLN2","HighEvidence"
"16","EPM2A","HighEvidence"
"17","CSF1R","HighEvidence"
"18","PRNP","HighEvidence"
"19","DNAJC5","HighEvidence"
"20","FUS","LowEvidence"
"21","C9orf72","LowEvidence"
"22","HNRNPA1","LowEvidence"
"23","JPH3","LowEvidence"
"24","SNCB","LowEvidence"
"25","TREM2","LowEvidence"
"26","HTRA1","LowEvidence"
"27","DCTN1","LowEvidence"
"28","GBA","LowEvidence"
"29","SNCA","LowEvidence"
"30","CHCHD10","LowEvidence"
"31","ATN1","LowEvidence"
