"","GeneSymbol","LevelOfConfidence"
"1","MRE11","HighEvidence"
"2","COQ8A","HighEvidence"
"3","TWNK","HighEvidence"
"4","ANO10","HighEvidence"
"5","TPP1","HighEvidence"
"6","MT-ATP6","HighEvidence"
"7","KCND3","HighEvidence"
"8","HEXA","HighEvidence"
"9","AP1S2","HighEvidence"
"10","ARSA","HighEvidence"
"11","FOLR1","HighEvidence"
"12","WDR73","HighEvidence"
"13","VLDLR","HighEvidence"
"14","CHMP1A","HighEvidence"
"15","SAR1B","HighEvidence"
"16","KCNC3","HighEvidence"
"17","NPC2","HighEvidence"
"18","STUB1","HighEvidence"
"19","MTTP","HighEvidence"
"20","MARS2","HighEvidence"
"21","RNF170","HighEvidence"
"22","TGM6","HighEvidence"
"23","EIF2B1","HighEvidence"
"24","KCNJ10","HighEvidence"
"25","ATP1A3","HighEvidence"
"26","PNKP","HighEvidence"
"27","PRNP","HighEvidence"
"28","EIF2B4","HighEvidence"
"29","ATCAY","HighEvidence"
"30","EXOSC3","HighEvidence"
"31","SNX14","HighEvidence"
"32","POLG","HighEvidence"
"33","TTPA","HighEvidence"
"34","TTBK2","HighEvidence"
"35","PLA2G6","HighEvidence"
"36","DDHD2","HighEvidence"
"37","CLN6","HighEvidence"
"38","MMACHC","HighEvidence"
"39","AAAS","HighEvidence"
"40","CAMTA1","HighEvidence"
"41","PEX16","HighEvidence"
"42","ABHD12","HighEvidence"
"43","EIF2B3","HighEvidence"
"44","PRKCG","HighEvidence"
"45","EPM2A","HighEvidence"
"46","SACS","HighEvidence"
"47","CACNA1G","HighEvidence"
"48","PDYN","HighEvidence"
"49","EIF2B5","HighEvidence"
"50","DNMT1","HighEvidence"
"51","WDR81","HighEvidence"
"52","SRD5A3","HighEvidence"
"53","GRID2","HighEvidence"
"54","GOSR2","HighEvidence"
"55","HEXB","HighEvidence"
"56","PMPCA","HighEvidence"
"57","PNPLA6","HighEvidence"
"58","PAX6","HighEvidence"
"59","KIF1C","HighEvidence"
"60","CWF19L1","HighEvidence"
"61","ABCB7","HighEvidence"
"62","RARS2","HighEvidence"
"63","TSEN54","HighEvidence"
"64","COX20","HighEvidence"
"65","FXN","HighEvidence"
"66","TUBB4A","HighEvidence"
"67","KCNA1","HighEvidence"
"68","WFS1","HighEvidence"
"69","FGF14","HighEvidence"
"70","SETX","HighEvidence"
"71","SIL1","HighEvidence"
"72","GFAP","HighEvidence"
"73","CACNA1A","HighEvidence"
"74","TMEM240","HighEvidence"
"75","ELOVL4","HighEvidence"
"76","SYNE1","HighEvidence"
"77","CYP27A1","HighEvidence"
"78","VRK1","HighEvidence"
"79","NPC1","HighEvidence"
"80","ITPR1","HighEvidence"
"81","DARS2","HighEvidence"
"82","OPHN1","HighEvidence"
"83","SEPSECS","HighEvidence"
"84","EIF2B2","HighEvidence"
"85","POLR3A","HighEvidence"
"86","GRM1","HighEvidence"
"87","NHLRC1","HighEvidence"
"88","FMR1","HighEvidence"
"89","TTC19","HighEvidence"
"90","FLVCR1","HighEvidence"
"91","SLC1A3","HighEvidence"
"92","SPG7","HighEvidence"
"93","SLC9A6","HighEvidence"
"94","CYP2U1","HighEvidence"
"95","WWOX","HighEvidence"
"96","DNAJC5","HighEvidence"
"97","SLC2A1","HighEvidence"
"98","CA8","HighEvidence"
"99","PRRT2","HighEvidence"
"100","SPTBN2","HighEvidence"
"101","ATM","HighEvidence"
"102","AMPD2","HighEvidence"
"103","APTX","HighEvidence"
"104","TSEN2","HighEvidence"
"105","GJC2","HighEvidence"
"106","CASK","HighEvidence"
"107","OPA3","HighEvidence"
"108","RNF216","HighEvidence"
"109","AFG3L2","HighEvidence"
"110","NKX6-2","HighEvidence"
"111","CP","HighEvidence"
"112","GBA2","HighEvidence"
"113","VAMP1","ModerateEvidence"
"114","DMXL2","ModerateEvidence"
"115","ATXN8","LowEvidence"
"116","SCN8A","LowEvidence"
"117","DAB1","LowEvidence"
"118","ZFYVE26","LowEvidence"
"119","UBR4","LowEvidence"
"120","ATXN3","LowEvidence"
"121","VPS53","LowEvidence"
"122","ALAS2","LowEvidence"
"123","CLP1","LowEvidence"
"124","ATXN1","LowEvidence"
"125","RELN","LowEvidence"
"126","PRICKLE1","LowEvidence"
"127","CACNB4","LowEvidence"
"128","UCHL1","LowEvidence"
"129","AARS","LowEvidence"
"130","PIK3R5","LowEvidence"
"131","DYNC1H1","LowEvidence"
"132","RUBCN","LowEvidence"
"133","CCDC88C","LowEvidence"
"134","ATP8A2","LowEvidence"
"135","TDP1","LowEvidence"
"136","PAX2","LowEvidence"
"137","TSEN34","LowEvidence"
"138","ZNF592","LowEvidence"
"139","TBP","LowEvidence"
"140","NAGLU","LowEvidence"
"141","ATXN2","LowEvidence"
"142","ATN1","LowEvidence"
"143","PPP2R2B","LowEvidence"
"144","MTPAP","LowEvidence"
"145","ATP2B3","LowEvidence"
"146","NOP56","LowEvidence"
"147","ATXN10","LowEvidence"
"148","SYT14","LowEvidence"
"149","PCLO","LowEvidence"
"150","XRCC1","LowEvidence"
"151","ATXN7","LowEvidence"
"152","CSTB","LowEvidence"
"153","ELOVL5","LowEvidence"
