"","GeneSymbol","LevelOfConfidence"
"1","PRKN","HighEvidence"
"2","OPA3","HighEvidence"
"3","ATP13A2","HighEvidence"
"4","PANK2","HighEvidence"
"5","WDR45","HighEvidence"
"6","FBXO7","HighEvidence"
"7","SLC39A14","HighEvidence"
"8","FTL","HighEvidence"
"9","C19orf12","HighEvidence"
"10","PINK1","HighEvidence"
"11","VPS13A","HighEvidence"
"12","MAPT","HighEvidence"
"13","DNAJC6","HighEvidence"
"14","TH","HighEvidence"
"15","SPG11","HighEvidence"
"16","SPR","HighEvidence"
"17","PARK7","HighEvidence"
"18","LRRK2","HighEvidence"
"19","TUBB4A","HighEvidence"
"20","SYNJ1","HighEvidence"
"21","GRN","HighEvidence"
"22","PRKRA","HighEvidence"
"23","SLC30A10","HighEvidence"
"24","DCTN1","HighEvidence"
"25","ATP1A3","HighEvidence"
"26","RAB39B","HighEvidence"
"27","GCH1","HighEvidence"
"28","SNCA","HighEvidence"
"29","PLA2G6","HighEvidence"
"30","CSF1R","HighEvidence"
"31","SLC6A3","HighEvidence"
"32","VPS35","HighEvidence"
"33","GBA","ModerateEvidence"
"34","TAF1","ModerateEvidence"
"35","CHCHD2","ModerateEvidence"
"36","IPPK","LowEvidence"
"37","HTT","LowEvidence"
"38","ANO3","LowEvidence"
"39","THAP1","LowEvidence"
"40","UCHL1","LowEvidence"
"41","TOR1A","LowEvidence"
"42","SGCE","LowEvidence"
"43","JPH3","LowEvidence"
"44","ATXN2","LowEvidence"
"45","GIGYF2","LowEvidence"
"46","SLC41A1","LowEvidence"
"47","HTRA2","LowEvidence"
"48","EIF4G1","LowEvidence"
"49","NR4A2","LowEvidence"
"50","TBP","LowEvidence"
"51","ATXN3","LowEvidence"
"52","GNAL","LowEvidence"
"53","SNCAIP","LowEvidence"
"54","C9orf72","LowEvidence"
"55","EPHB4","NoList"
