"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","LARGE1","HighEvidence","biallelic",NA
"2","ADGRG1","HighEvidence","biallelic",NA
"3","AMPD2","HighEvidence","biallelic",NA
"4","B3GALNT2","HighEvidence","biallelic",NA
"5","CACNA1G","HighEvidence","monoallelic","Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments"
"6","CASK","HighEvidence","xlinked_monoallelic",NA
"7","CHMP1A","HighEvidence","biallelic",NA
"8","CLP1","HighEvidence","biallelic",NA
"9","CWF19L1","HighEvidence","biallelic",NA
"10","DKC1","HighEvidence","xlinked_biallelic",NA
"11","EXOSC3","HighEvidence","biallelic",NA
"12","FKRP","HighEvidence","biallelic",NA
"13","FKTN","HighEvidence","biallelic",NA
"14","GMPPB","HighEvidence","biallelic",NA
"15","ISPD","HighEvidence","biallelic",NA
"16","ITPR1","HighEvidence","monoallelic_and_more_severe_biallelic",NA
"17","KCNC3","HighEvidence","monoallelic_not_imprinted",NA
"18","OPHN1","HighEvidence","xlinked_biallelic",NA
"19","POMGNT1","HighEvidence","biallelic",NA
"20","POMGNT2","HighEvidence","biallelic",NA
"21","POMT1","HighEvidence","biallelic",NA
"22","POMT2","HighEvidence","biallelic",NA
"23","PTF1A","HighEvidence","biallelic",NA
"24","RARS2","HighEvidence","biallelic",NA
"25","RELN","HighEvidence","biallelic",NA
"26","ROBO3","HighEvidence","biallelic",NA
"27","SEPSECS","HighEvidence","biallelic",NA
"28","SNX14","HighEvidence","monoallelic_and_more_severe_biallelic",NA
"29","SPTBN2","HighEvidence","monoallelic_and_biallelic",NA
"30","TINF2","HighEvidence","monoallelic_not_imprinted",NA
"31","TMEM5","HighEvidence","biallelic",NA
"32","TOE1","HighEvidence","biallelic",NA
"33","TSEN2","HighEvidence","biallelic",NA
"34","TSEN34","HighEvidence","biallelic",NA
"35","TSEN54","HighEvidence","biallelic",NA
"36","TUBA1A","HighEvidence","monoallelic_not_imprinted",NA
"37","TUBA8","HighEvidence","biallelic",NA
"38","TUBB2B","HighEvidence","monoallelic_not_imprinted",NA
"39","TUBB3","HighEvidence","monoallelic_not_imprinted",NA
"40","VLDLR","HighEvidence","biallelic",NA
"41","VRK1","HighEvidence","biallelic",NA
"42","WDR81","HighEvidence","biallelic",NA
"43","ATP8A2","ModerateEvidence","biallelic",NA
"44","B4GAT1","ModerateEvidence","biallelic",NA
"45","CA8","ModerateEvidence","biallelic",NA
"46","DAG1","ModerateEvidence",NA,NA
"47","DCC","ModerateEvidence","biallelic",NA
"48","PHGDH","ModerateEvidence","biallelic",NA
"49","SMPD4","ModerateEvidence","biallelic",NA
"50","TERT","ModerateEvidence","biallelic",NA
"51","VPS53","ModerateEvidence","biallelic",NA
"52","BRF1","LowEvidence","biallelic",NA
"53","CDK5","LowEvidence","biallelic",NA
"54","EXOSC8","LowEvidence",NA,NA
"55","FRMD4A","LowEvidence","biallelic",NA
"56","PCLO","LowEvidence","biallelic",NA
"57","PI4KA","LowEvidence","biallelic",NA
"58","PMPCA","LowEvidence","biallelic",NA
"59","POMK","LowEvidence","biallelic",NA
"60","STUB1","LowEvidence","biallelic",NA
"61","TSEN15","LowEvidence","biallelic",NA
"62","TUBB","LowEvidence","monoallelic_not_imprinted",NA
