"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","MYMK","HighEvidence","biallelic",NA
"2","SELENON","HighEvidence","biallelic",NA
"3","ACTA1","HighEvidence","monoallelic_and_biallelic",NA
"4","BIN1","HighEvidence","biallelic",NA
"5","CACNA1S","HighEvidence","monoallelic_and_biallelic",NA
"6","CFL2","HighEvidence","biallelic",NA
"7","COL12A1","HighEvidence","monoallelic_and_biallelic",NA
"8","COL6A1","HighEvidence","monoallelic_and_biallelic",NA
"9","COL6A2","HighEvidence","monoallelic_and_biallelic",NA
"10","COL6A3","HighEvidence","monoallelic_and_biallelic",NA
"11","DNM2","HighEvidence","monoallelic",NA
"12","EPG5","HighEvidence","biallelic",NA
"13","FKBP14","HighEvidence","biallelic",NA
"14","HTRA2","HighEvidence","biallelic",NA
"15","KBTBD13","HighEvidence","monoallelic",NA
"16","KLHL40","HighEvidence","biallelic",NA
"17","KLHL41","HighEvidence","biallelic",NA
"18","LGI4","HighEvidence","biallelic",NA
"19","LMNA","HighEvidence","biallelic",NA
"20","LMOD3","HighEvidence","biallelic",NA
"21","MAP3K20","HighEvidence","biallelic",NA
"22","MEGF10","HighEvidence","biallelic",NA
"23","MICU1","HighEvidence","biallelic",NA
"24","MTM1","HighEvidence","xlinked_biallelic",NA
"25","MYH2","HighEvidence","monoallelic",NA
"26","MYH3","HighEvidence","monoallelic",NA
"27","MYH7","HighEvidence","monoallelic",NA
"28","MYH8","HighEvidence","monoallelic",NA
"29","MYO18B","HighEvidence","biallelic",NA
"30","NEB","HighEvidence","biallelic",NA
"31","ORAI1","HighEvidence","monoallelic",NA
"32","RYR1","HighEvidence","monoallelic_and_biallelic",NA
"33","SCN4A","HighEvidence","biallelic",NA
"34","SLC25A4","HighEvidence","monoallelic",NA
"35","SPEG","HighEvidence","biallelic",NA
"36","STAC3","HighEvidence","biallelic",NA
"37","STIM1","HighEvidence","monoallelic",NA
"38","TNNT1","HighEvidence","biallelic",NA
"39","TPM2","HighEvidence","monoallelic",NA
"40","TPM3","HighEvidence","monoallelic_and_biallelic",NA
"41","TTN","HighEvidence","biallelic",NA
"42","VMA21","HighEvidence","xlinked_biallelic",NA
"43","CASQ1","ModerateEvidence","MONOALLELIC, autosomal or pseudoautosomal",NA
"44","CCDC78","ModerateEvidence","monoallelic",NA
"45","CNTN1","ModerateEvidence","biallelic",NA
"46","HACD1","ModerateEvidence","biallelic",NA
"47","KY","ModerateEvidence","biallelic",NA
"48","LAMP2","ModerateEvidence","xlinked_monoallelic",NA
"49","MTMR14","ModerateEvidence","monoallelic",NA
"50","MYBPC3","ModerateEvidence","biallelic",NA
"51","MYL1","ModerateEvidence","biallelic",NA
"52","MYPN","ModerateEvidence","biallelic",NA
"53","NEFL","ModerateEvidence","MONOALLELIC, autosomal or pseudoautosomal",NA
"54","VPS33B","ModerateEvidence",NA,NA
"55","ATP2A1","LowEvidence","biallelic",NA
"56","BAG3","LowEvidence","monoallelic",NA
"57","CAV3","LowEvidence","monoallelic",NA
"58","CHCHD10","LowEvidence","monoallelic",NA
"59","COL9A3","LowEvidence","monoallelic",NA
"60","CPT2","LowEvidence","biallelic",NA
"61","CRYAB","LowEvidence","monoallelic_and_biallelic",NA
"62","DES","LowEvidence","monoallelic_and_biallelic",NA
"63","DMPK","LowEvidence","monoallelic","Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments"
"64","DNAJB6","LowEvidence","monoallelic",NA
"65","DYSF","LowEvidence","biallelic",NA
"66","ECEL1","LowEvidence","biallelic",NA
"67","FAM111B","LowEvidence","monoallelic",NA
"68","FLNC","LowEvidence",NA,NA
"69","GFER","LowEvidence","biallelic",NA
"70","GNE","LowEvidence","biallelic",NA
"71","HNRNPA1","LowEvidence","monoallelic",NA
"72","HRAS","LowEvidence","monoallelic",NA
"73","ISCU","LowEvidence","biallelic",NA
"74","LDB3","LowEvidence","monoallelic",NA
"75","MATR3","LowEvidence","monoallelic",NA
"76","MT-TL1","LowEvidence","mitochondrial",NA
"77","MYBPC1","LowEvidence","monoallelic_and_biallelic",NA
"78","MYF6","LowEvidence","monoallelic",NA
"79","MYH14","LowEvidence","monoallelic",NA
"80","MYOT","LowEvidence","monoallelic",NA
"81","PIEZO2","LowEvidence","monoallelic_and_biallelic",NA
"82","PNPLA2","LowEvidence","biallelic",NA
"83","PUS1","LowEvidence","biallelic",NA
"84","RBCK1","LowEvidence","biallelic",NA
"85","SLC25A42","LowEvidence","biallelic",NA
"86","SPTBN4","LowEvidence","biallelic",NA
"87","STIM2","LowEvidence",NA,NA
"88","TIA1","LowEvidence","monoallelic_and_biallelic",NA
"89","TNNI2","LowEvidence","monoallelic",NA
"90","TNNT3","LowEvidence","monoallelic",NA
"91","VCP","LowEvidence","monoallelic",NA
"92","YARS2","LowEvidence","biallelic",NA
