"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","AARS","HighEvidence","biallelic",NA
"2","ADSL","HighEvidence","biallelic",NA
"3","ALDH7A1","HighEvidence","biallelic",NA
"4","ALG11","HighEvidence","biallelic",NA
"5","ALG13","HighEvidence","xlinked_monoallelic",NA
"6","ARHGEF9","HighEvidence","xlinked_biallelic",NA
"7","ARX","HighEvidence","xlinked_biallelic",NA
"8","ATP1A3","HighEvidence","monoallelic_not_imprinted",NA
"9","ATP6V0A2","HighEvidence","biallelic",NA
"10","ATRX","HighEvidence","xlinked_biallelic",NA
"11","BRAT1","HighEvidence","biallelic",NA
"12","BSCL2","HighEvidence","monoallelic_and_biallelic",NA
"13","CACNA1D","HighEvidence","monoallelic_and_biallelic",NA
"14","CDKL5","HighEvidence","xlinked_monoallelic",NA
"15","CHD2","HighEvidence","monoallelic_not_imprinted",NA
"16","CHRNA2","HighEvidence","monoallelic_not_imprinted",NA
"17","CHRNA4","HighEvidence","monoallelic",NA
"18","CHRNB2","HighEvidence","monoallelic",NA
"19","CIC","HighEvidence","monoallelic",NA
"20","CLN8","HighEvidence","biallelic",NA
"21","CLTC","HighEvidence","monoallelic",NA
"22","CNKSR2","HighEvidence","xlinked_biallelic",NA
"23","CNTNAP2","HighEvidence","biallelic",NA
"24","CPA6","HighEvidence","monoallelic_and_biallelic",NA
"25","CYFIP2","HighEvidence","monoallelic",NA
"26","DEPDC5","HighEvidence","monoallelic_not_imprinted",NA
"27","DIAPH1","HighEvidence","biallelic",NA
"28","DNM1","HighEvidence","monoallelic_not_imprinted",NA
"29","DOCK7","HighEvidence","biallelic",NA
"30","DPYD","HighEvidence","biallelic",NA
"31","DYRK1A","HighEvidence","monoallelic_not_imprinted",NA
"32","EHMT1","HighEvidence","monoallelic_not_imprinted",NA
"33","EML1","HighEvidence","biallelic",NA
"34","EPG5","HighEvidence","biallelic",NA
"35","EPM2A","HighEvidence","biallelic",NA
"36","FOXG1","HighEvidence","monoallelic_not_imprinted",NA
"37","GABBR2","HighEvidence","monoallelic",NA
"38","GABRA1","HighEvidence","monoallelic_not_imprinted",NA
"39","GABRB3","HighEvidence","monoallelic_not_imprinted",NA
"40","GABRG2","HighEvidence","monoallelic",NA
"41","GLYCTK","HighEvidence","biallelic",NA
"42","GNAO1","HighEvidence","monoallelic_not_imprinted",NA
"43","GPAA1","HighEvidence","biallelic",NA
"44","GRIN1","HighEvidence","monoallelic_and_biallelic",NA
"45","GRIN2A","HighEvidence","monoallelic_not_imprinted",NA
"46","GRIN2B","HighEvidence","monoallelic_not_imprinted",NA
"47","GSS","HighEvidence","biallelic",NA
"48","HCN1","HighEvidence","monoallelic_not_imprinted",NA
"49","HECW2","HighEvidence","monoallelic",NA
"50","HMGCL","HighEvidence","biallelic",NA
"51","HNRNPH2","HighEvidence","xlinked_monoallelic",NA
"52","HNRNPU","HighEvidence","monoallelic",NA
"53","HTRA2","HighEvidence","biallelic",NA
"54","IDH2","HighEvidence","monoallelic",NA
"55","IER3IP1","HighEvidence","biallelic",NA
"56","IQSEC2","HighEvidence","xlinked_monoallelic",NA
"57","ITPA","HighEvidence","biallelic",NA
"58","KCNA2","HighEvidence","monoallelic",NA
"59","KCNB1","HighEvidence","monoallelic_not_imprinted",NA
"60","KCNC1","HighEvidence","monoallelic",NA
"61","KCNJ10","HighEvidence","biallelic",NA
"62","KCNQ2","HighEvidence","monoallelic_not_imprinted",NA
"63","KCNQ3","HighEvidence","monoallelic_not_imprinted",NA
"64","KCNT1","HighEvidence","monoallelic_not_imprinted",NA
"65","KCTD7","HighEvidence","biallelic",NA
"66","KIF1BP","HighEvidence","biallelic",NA
"67","LGI1","HighEvidence","monoallelic",NA
"68","MAPK10","HighEvidence","monoallelic_not_imprinted",NA
"69","MBD5","HighEvidence","monoallelic_not_imprinted",NA
"70","MBOAT7","HighEvidence","biallelic",NA
"71","MDH2","HighEvidence","biallelic",NA
"72","MECP2","HighEvidence","xlinked_monoallelic",NA
"73","MEF2C","HighEvidence","monoallelic_not_imprinted",NA
"74","MFF","HighEvidence","biallelic",NA
"75","MOGS","HighEvidence","biallelic",NA
"76","MTOR","HighEvidence","monoallelic",NA
"77","NACC1","HighEvidence","monoallelic_not_imprinted",NA
"78","NEXMIF","HighEvidence","xlinked_biallelic",NA
"79","PCDH19","HighEvidence","xlinked_monoallelic",NA
"80","PIGA","HighEvidence","xlinked_biallelic",NA
"81","PIGN","HighEvidence","biallelic",NA
"82","PIGT","HighEvidence","biallelic",NA
"83","PLCB1","HighEvidence","biallelic",NA
"84","PLPBP","HighEvidence","biallelic",NA
"85","PNKP","HighEvidence","biallelic",NA
