"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","SPART","HighEvidence","biallelic",NA
"2","WASHC5","HighEvidence","monoallelic",NA
"3","ADAR","HighEvidence","biallelic",NA
"4","AFG3L2","HighEvidence","biallelic",NA
"5","AIMP1","HighEvidence","biallelic",NA
"6","ALDH18A1","HighEvidence","monoallelic_and_biallelic",NA
"7","ALS2","HighEvidence","biallelic",NA
"8","AP4B1","HighEvidence","biallelic",NA
"9","AP4E1","HighEvidence","biallelic",NA
"10","AP4M1","HighEvidence","biallelic",NA
"11","AP4S1","HighEvidence","biallelic",NA
"12","ATL1","HighEvidence","monoallelic",NA
"13","B4GALNT1","HighEvidence","biallelic",NA
"14","BSCL2","HighEvidence","monoallelic",NA
"15","C12orf65","HighEvidence","biallelic",NA
"16","C19orf12","HighEvidence","biallelic",NA
"17","CAPN1","HighEvidence","biallelic",NA
"18","CYP2U1","HighEvidence","biallelic",NA
"19","CYP7B1","HighEvidence","biallelic",NA
"20","DDHD1","HighEvidence","biallelic",NA
"21","DDHD2","HighEvidence","biallelic",NA
"22","ERLIN2","HighEvidence","monoallelic_and_biallelic",NA
"23","FA2H","HighEvidence","biallelic",NA
"24","GBA2","HighEvidence","biallelic",NA
"25","HSPD1","HighEvidence","monoallelic",NA
"26","KIDINS220","HighEvidence","monoallelic",NA
"27","KIF1A","HighEvidence","biallelic",NA
"28","KIF5A","HighEvidence","monoallelic",NA
"29","L1CAM","HighEvidence","xlinked_biallelic",NA
"30","NIPA1","HighEvidence","monoallelic",NA
"31","NKX6-2","HighEvidence","biallelic",NA
"32","OPA3","HighEvidence","biallelic",NA
"33","PLP1","HighEvidence","xlinked_biallelic",NA
"34","PNPLA6","HighEvidence","biallelic",NA
"35","POLR3A","HighEvidence","biallelic",NA
"36","REEP1","HighEvidence","monoallelic",NA
"37","RTN2","HighEvidence","monoallelic",NA
"38","SACS","HighEvidence","biallelic",NA
"39","SERAC1","HighEvidence","biallelic",NA
"40","SLC16A2","HighEvidence","xlinked_biallelic",NA
"41","SLC25A46","HighEvidence","biallelic",NA
"42","SPAST","HighEvidence","monoallelic",NA
"43","SPG11","HighEvidence","biallelic",NA
"44","SPG21","HighEvidence","biallelic",NA
"45","SPG7","HighEvidence","biallelic",NA
"46","TUBB4A","HighEvidence","monoallelic",NA
"47","WDR45B","HighEvidence","biallelic",NA
"48","ZFYVE26","HighEvidence","biallelic",NA
"49","CDK16","ModerateEvidence","xlinked_biallelic",NA
"50","REEP2","ModerateEvidence","monoallelic_and_biallelic",NA
"51","AMPD2","LowEvidence","biallelic",NA
"52","AP5Z1","LowEvidence","biallelic",NA
"53","ARL6IP1","LowEvidence","biallelic",NA
"54","ARSI","LowEvidence","biallelic",NA
"55","CCT5","LowEvidence","biallelic",NA
"56","DSTYK","LowEvidence","biallelic",NA
"57","ENTPD1","LowEvidence","biallelic",NA
"58","GAD1","LowEvidence",NA,NA
"59","GJC2","LowEvidence","biallelic",NA
"60","KIF1C","LowEvidence","biallelic",NA
"61","MARS","LowEvidence","biallelic",NA
"62","MARS2","LowEvidence",NA,NA
"63","MTPAP","LowEvidence","biallelic",NA
"64","NT5C2","LowEvidence","biallelic",NA
"65","PCDH12","LowEvidence","biallelic",NA
"66","PGAP1","LowEvidence","biallelic",NA
"67","PSEN1","LowEvidence",NA,NA
"68","SLC33A1","LowEvidence","monoallelic",NA
"69","TECPR2","LowEvidence","biallelic",NA
"70","TFG","LowEvidence","biallelic",NA
"71","USP8","LowEvidence","biallelic",NA
"72","VAMP1","LowEvidence","monoallelic",NA
"73","VPS37A","LowEvidence","biallelic",NA
"74","WDR48","LowEvidence","biallelic",NA
"75","ZEB2","LowEvidence",NA,NA
"76","ZFYVE27","LowEvidence","monoallelic",NA
"77","SPG14","NoList","biallelic",NA
"78","SPG16","NoList","xlinked_monoallelic",NA
"79","SPG19","NoList","monoallelic",NA
"80","SPG23","NoList","biallelic",NA
"81","SPG24","NoList","biallelic",NA
"82","SPG25","NoList","biallelic",NA
"83","SPG27","NoList","biallelic",NA
"84","SPG29","NoList","biallelic",NA
"85","SPG32","NoList","biallelic",NA
"86","SPG34","NoList","xlinked_monoallelic",NA
"87","SPG36","NoList","monoallelic",NA
"88","SPG37","NoList","monoallelic",NA
"89","SPG38","NoList","monoallelic",NA
"90","SPG41","NoList","monoallelic",NA
