"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","ADAR","HighEvidence","biallelic",NA
"2","AP1S2","HighEvidence","xlinked_biallelic",NA
"3","ATP13A2","HighEvidence","biallelic",NA
"4","ATP7B","HighEvidence","biallelic",NA
"5","BCS1L","HighEvidence","biallelic",NA
"6","C19orf12","HighEvidence","monoallelic_and_biallelic",NA
"7","COASY","HighEvidence","biallelic",NA
"8","COX10","HighEvidence","biallelic",NA
"9","COX15","HighEvidence","biallelic",NA
"10","CP","HighEvidence","biallelic",NA
"11","DLAT","HighEvidence","biallelic",NA
"12","ETHE1","HighEvidence","biallelic",NA
"13","FA2H","HighEvidence","biallelic",NA
"14","FOXP2","HighEvidence","monoallelic_not_imprinted",NA
"15","FTL","HighEvidence","monoallelic_not_imprinted",NA
"16","GCDH","HighEvidence","biallelic",NA
"17","HIBCH","HighEvidence","biallelic",NA
"18","IFIH1","HighEvidence","monoallelic_not_imprinted",NA
"19","ISG15","HighEvidence","biallelic",NA
"20","IVD","HighEvidence","biallelic",NA
"21","KMT2B","HighEvidence","monoallelic",NA
"22","MECR","HighEvidence","biallelic",NA
"23","MT-ATP6","HighEvidence","mitochondrial",NA
"24","MT-ND1","HighEvidence","mitochondrial",NA
"25","MT-ND6","HighEvidence","mitochondrial",NA
"26","MUT","HighEvidence","biallelic",NA
"27","NDUFA1","HighEvidence","monoallelic_and_more_severe_biallelic",NA
"28","NDUFA10","HighEvidence","biallelic",NA
"29","NDUFAF2","HighEvidence","biallelic",NA
"30","NDUFAF6","HighEvidence","biallelic",NA
"31","NDUFS4","HighEvidence","biallelic",NA
"32","NDUFS7","HighEvidence","biallelic",NA
"33","NDUFS8","HighEvidence","biallelic",NA
"34","NDUFV1","HighEvidence","biallelic",NA
"35","OCLN","HighEvidence","biallelic",NA
"36","PANK2","HighEvidence","biallelic",NA
"37","PCCA","HighEvidence","biallelic",NA
"38","PCCB","HighEvidence","biallelic",NA
"39","PDE10A","HighEvidence","biallelic",NA
"40","PDGFB","HighEvidence","monoallelic_not_imprinted",NA
"41","PDGFRB","HighEvidence","monoallelic_not_imprinted",NA
"42","PDHA1","HighEvidence","xlinked_monoallelic",NA
"43","PDP1","HighEvidence","biallelic",NA
"44","PLA2G6","HighEvidence","biallelic",NA
"45","PRNP","HighEvidence","monoallelic_not_imprinted",NA
"46","RAB39B","HighEvidence","xlinked_biallelic",NA
"47","SDHA","HighEvidence","biallelic",NA
"48","SERAC1","HighEvidence","biallelic",NA
"49","SLC19A3","HighEvidence","biallelic",NA
"50","SLC20A2","HighEvidence","monoallelic_not_imprinted",NA
"51","SLC25A19","HighEvidence","biallelic",NA
"52","SLC30A10","HighEvidence","biallelic",NA
"53","SLC39A14","HighEvidence","biallelic",NA
"54","SUCLA2","HighEvidence","biallelic",NA
"55","SUCLG1","HighEvidence","biallelic",NA
"56","SURF1","HighEvidence","biallelic",NA
"57","TOR1A","HighEvidence","monoallelic_not_imprinted",NA
"58","TUBA1A","HighEvidence","monoallelic_not_imprinted",NA
"59","TUBB4A","HighEvidence","monoallelic_not_imprinted",NA
"60","VAC14","HighEvidence","biallelic",NA
"61","VPS13A","HighEvidence","biallelic",NA
"62","WDR45","HighEvidence","xlinked_monoallelic",NA
"63","XPR1","HighEvidence","monoallelic_not_imprinted",NA
"64","GFAP","ModerateEvidence","monoallelic",NA
"65","AIFM1","LowEvidence","xlinked_biallelic",NA
"66","BDNF","LowEvidence","monoallelic_not_imprinted",NA
"67","DCAF10","LowEvidence","biallelic",NA
"68","HEXA","LowEvidence","biallelic",NA
"69","HTT","LowEvidence","monoallelic",NA
"70","NDUFA2","LowEvidence","biallelic",NA
"71","NDUFA9","LowEvidence","biallelic",NA
"72","NDUFS3","LowEvidence","biallelic",NA
"73","NUP62","LowEvidence","biallelic",NA
"74","PDX1","LowEvidence","biallelic",NA
"75","SUOX","LowEvidence","biallelic",NA
