"Gene" "LoFtool" "RVIS" "%RVIS" "RVISExAC" "%RVISExAC" "RVISExACv2" "%RVISExACv2" "SynZ" "MisZ" "pLI"
"x" NA NA NA NA NA NA NA NA NA NA
"TSPAN6" 0.568 -0.12 44.89 0.071223414 57.5443787 0.550673708 78.36990596 -0.614176346699224 -0.588415204703251 0.0282021832612146
"TNMD" 0.425 -0.05 49.76 -0.263249672 35.50295858 -0.21104166 38.87147335 -0.570460531565488 0.502154288506316 0.816440948853997
"DPM1" 0.443 0.04 56.64 0.212525692 64.45394856 -0.137342967 42.86412512 -0.43313072331614 0.477271067249789 0.536747471706315
"SCYL3" 0.841 0.31 72.71 0.012891955 51.25594844 -0.010611021 48.92473118 -0.268518714558982 0.281316244359006 0.547053807767411
"C1orf112" 0.906 -0.2 39.21 -0.896220862 10.80657792 -0.652099831 22.37536657 0.597638640384742 -1.18072857139666 5.98150986824657e-08
"FGR" 0.222 -0.89 10.3 -0.853878709 11.68001928 -0.415662254 30.86999022 1.32270440498013 3.03735660038291 0.177174438745081
"CFH" 0.358 0.52 80.37 -0.162689819 39.03379314 -0.401408751 31.42717498 -1.05696358546822 0.557695518287623 0.99963096815145
"FUCA2" 0.86 0.6 82.74 0.102555163 57.47846515 -0.029684638 47.94721408 -0.274686117789982 0.132561546422619 0.000365583505701958
"GCLC" 0.456 -0.47 23.43 -0.417438547 25.31172821 -0.397391396 31.63245357 0.241839508990334 2.50178807550323 0.815078354570402
"NFYA" 0.217 -0.21 38.28 -0.451177568 23.79374736 -0.557547947 25.46432063 -0.336787807791398 2.62314729369682 0.0220592707694253
"STPG1" NA NA NA 0.804694779 87.38630203 0.721334396 79.51124145 0.491676179639593 -0.0869002598731914 0.00010643410734956
"NIPAL3" 0.232 -0.8 12.33 -0.282012075 32.17878441 -0.280643961 36.54936461 -0.303514344023093 0.361724400252086 0.000454711893618813
"LAS1L" 0.0366 -0.09 46.74 -1.073970209 9.763313609 -0.609439784 18.65203762 -0.055333594591441 2.20255612222046 0.892095595186022
"ENPP4" 0.686 0.37 75.29 0.284686763 68.36937534 0.252467009 61.39784946 0.118643019509116 -0.441753026282369 0.414683930724528
"SEMA3F" 0.158 -0.26 34.88 -1.016665174 8.740437323 -0.590872809 24.33040078 0.687314391176985 2.67963057719032 0.999917700468544
"CFTR" 0.0235 -0.51 21.73 1.571750997 96.6568279 1.584056666 94.46725318 0.168819898237753 -6.02911830522374 2.96390764420065e-36
"ANKIB1" 0.413 -0.73 14.08 0.396678246 73.94735257 0.449513769 69.78494624 0.24617813224857 2.43413005668544 0.999885674650132
"CYP51A1" 0.39 -0.4 26.73 -0.417438547 25.31172821 -0.57688111 24.79960899 -0.514248385145318 0.190309560574161 9.85961120147983e-06
"KRIT1" 0.845 -0.87 10.8 -1.083515083 7.915185832 -0.969292274 13.82209189 -0.799440570520442 0.890290551899616 0.0942382450327803
"RAD52" 0.859 0.51 80.1 0.188308041 63.09258478 0.494339598 71.54447703 0.125479336561711 -0.379527927897415 2.38441629175774e-07
"BAD" 0.645 -0.32 31.46 0.18925473 63.17089332 0.065314802 52.61974585 0.398645726951624 0.681096440700252 0.000414578843999332
"LAP3" 0.728 -0.51 21.65 0.110051684 58.01457744 0.420191244 68.48484848 0.15338833337277 0.404724137354918 0.00122013401187321
"CD99" 0.711 0.86 88.62 0.382605966 72.33727811 0.339186143 70.37617555 0.830284687953963 -0.189873725292393 0.21761289792797
"HS3ST1" NA -0.43 25.37 -0.379011759 27.26341787 -0.546493626 25.8455523 1.61176589155474 1.59294532190717 0.00617541021258819
"AOC1" NA NA NA 0.177523393 62.45406903 0.767866053 80.79178886 0.34465470422702 0.439259893798088 1.2402397245546e-08
"WNT16" 0.833 0.44 77.8 -0.363235777 28.07059816 -0.501217837 27.51710655 1.1334449600878 -0.0498528937403351 0.000185158701253108
"HECW1" NA -0.43 24.72 -2.846515326 0.795132823 -2.960735794 1.085043988 1.4191151377541 3.61873247654912 0.999999893537852
"MAD1L1" 0.924 -1.32 4.76 0.276868509 67.91157159 0.680794207 78.0742913 -0.969007424875483 -0.537751966671685 2.03780827176675e-10
"LASP1" 0.408 -0.45 24 -0.158453138 39.34702729 -0.309612877 35.31769306 1.15268917854577 2.68000151317124 0.8667394350595
"SNX11" 0.92 -0.38 27.42 -0.270606697 32.86549003 -0.37386779 32.57086999 -0.40876805493559 -0.343351145296029 3.85654523915294e-05
"TMEM176A" 0.721 1.26 93.53 0.546645626 80.08553702 0.453969503 69.98044966 -0.0405882065910411 0.774947778734672 0.399810437494734
"M6PR" 0.62 -0.16 41.25 -0.459456397 23.42027589 -0.557547947 25.46432063 0.430552976667363 0.695220833788204 0.71302578173056
"KLHL13" 0.514 -0.23 37.32 -0.763270096 15.38461538 -1.262300899 7.680250784 -0.497232350164077 2.16083911769871 0.731977363371556
"CYP26B1" 0.462 0 54.03 0.785005447 86.96464068 1.062505912 87.42913001 0.065680177489183 2.06357838377173 0.954353506649453
"ICA1" 0.166 -0.71 14.5 -0.294039195 31.52219746 -0.032714222 47.82013685 -0.179411379101195 -0.223810377098125 0.00495036829251652
"DBNDD1" 0.654 -0.34 30.07 -0.2615466 33.41967351 -0.21986861 39.21798631 -0.553078655640807 -0.262936864096018 0.000234996408377196
"ALS2" 0.318 -1.46 3.89 -2.155938739 1.608336847 -2.27349784 2.316715543 0.323896403542851 0.798601868161311 0.000769641354733604
