"ensembl_gene_id" "percentage_gene_gc_content"
"1" "ENSG00000000003" 40.4
"2" "ENSG00000000005" 40.8
"3" "ENSG00000000419" 39.85
"4" "ENSG00000000457" 40.14
"5" "ENSG00000000460" 39.22
"6" "ENSG00000000938" 52.97
"7" "ENSG00000000971" 35.2
"8" "ENSG00000001036" 39.69
"9" "ENSG00000001084" 40.16
"10" "ENSG00000001167" 40
"11" "ENSG00000001460" 44.09
"12" "ENSG00000001461" 45
"13" "ENSG00000001497" 50.45
"14" "ENSG00000001561" 36.06
"15" "ENSG00000001617" 57.74
"16" "ENSG00000001626" 36.59
"17" "ENSG00000001629" 36.77
"18" "ENSG00000001630" 39.91
"19" "ENSG00000001631" 36.48
"20" "ENSG00000002016" 45.17
"21" "ENSG00000002079" 49.9
"22" "ENSG00000002330" 53.92
"23" "ENSG00000002549" 44.17
"24" "ENSG00000002586" 47.39
"25" "ENSG00000002587" 43.92
"26" "ENSG00000002726" 47.8
"27" "ENSG00000002745" 38.61
"28" "ENSG00000002746" 42.03
"29" "ENSG00000002822" 55.65
"30" "ENSG00000002834" 53.69
"31" "ENSG00000002919" 48
"32" "ENSG00000002933" 57.57
"33" "ENSG00000003056" 42.71
"34" "ENSG00000003096" 36.56
"35" "ENSG00000003137" 59.96
"36" "ENSG00000003147" 40.3
"37" "ENSG00000003249" 59.39
"38" "ENSG00000003393" 38.06
"39" "ENSG00000003400" 42.31
"40" "ENSG00000003402" 44.35
"41" "ENSG00000003436" 36.6
"42" "ENSG00000003509" 38.97
"43" "ENSG00000003756" 44.45
"44" "ENSG00000003987" 40.36
"45" "ENSG00000003989" 40.13
"46" "ENSG00000004059" 56.5
"47" "ENSG00000004139" 51.55
"48" "ENSG00000004142" 50.16
"49" "ENSG00000004399" 58.39
"50" "ENSG00000004455" 46.32
"51" "ENSG00000004468" 41.09
"52" "ENSG00000004478" 51.56
"53" "ENSG00000004487" 39.16
"54" "ENSG00000004534" 44.14
"55" "ENSG00000004660" 57.17
"56" "ENSG00000004700" 37.57
"57" "ENSG00000004766" 34.83
"58" "ENSG00000004776" 62.55
"59" "ENSG00000004777" 60.93
"60" "ENSG00000004779" 48.8
"61" "ENSG00000004799" 36.07
"62" "ENSG00000004809" 41.33
"63" "ENSG00000004838" 57.81
"64" "ENSG00000004846" 37.73
"65" "ENSG00000004848" 54.62
"66" "ENSG00000004864" 39.76
"67" "ENSG00000004866" 39.15
"68" "ENSG00000004897" 38.66
"69" "ENSG00000004939" 55.8
"70" "ENSG00000004948" 35.2
"71" "ENSG00000004961" 42.99
"72" "ENSG00000004975" 55.14
"73" "ENSG00000005001" 59.35
"74" "ENSG00000005007" 55.16
"75" "ENSG00000005020" 36.94
"76" "ENSG00000005022" 53.25
"77" "ENSG00000005059" 41.01
"78" "ENSG00000005073" 55.22
"79" "ENSG00000005075" 55.04
"80" "ENSG00000005100" 45.81
"81" "ENSG00000005102" 51.61
"82" "ENSG00000005108" 35.51
"83" "ENSG00000005156" 47.23
"84" "ENSG00000005175" 36.57
"85" "ENSG00000005187" 41.08
"86" "ENSG00000005189" 39.89
"87" "ENSG00000005194" 44.41
"88" "ENSG00000005206" 61.06
"89" "ENSG00000005238" 54.68
"90" "ENSG00000005243" 52.71
"91" "ENSG00000005249" 38.63
"92" "ENSG00000005302" 42.85
"93" "ENSG00000005339" 45.01
"94" "ENSG00000005379" 57.84
"95" "ENSG00000005381" 55.13
"96" "ENSG00000005421" 40.5
"97" "ENSG00000005436" 36.39
"98" "ENSG00000005448" 54.68
"99" "ENSG00000005469" 37.43
"100" "ENSG00000005471" 38.6
"101" "ENSG00000005483" 37.46
"102" "ENSG00000005486" 47.79
"103" "ENSG00000005513" 64.81
"104" "ENSG00000005700" 36.07
"105" "ENSG00000005801" 41.43
"106" "ENSG00000005810" 35.72
"107" "ENSG00000005812" 38.36
"108" "ENSG00000005844" 50.46
"109" "ENSG00000005882" 56.67
"110" "ENSG00000005884" 52.64
"111" "ENSG00000005889" 40.77
"112" "ENSG00000005893" 38.79
"113" "ENSG00000005961" 54.83
"114" "ENSG00000005981" 38.27
"115" "ENSG00000006007" 40.17
"116" "ENSG00000006015" 60.24
"117" "ENSG00000006016" 55.32
"118" "ENSG00000006025" 57.86
"119" "ENSG00000006042" 48.47
"120" "ENSG00000006047" 57.92
"121" "ENSG00000006059" 48.36
"122" "ENSG00000006062" 49.97
"123" "ENSG00000006071" 50
"124" "ENSG00000006116" 44.54
"125" "ENSG00000006118" 58.71
"126" "ENSG00000006125" 39.93
"127" "ENSG00000006128" 39.8
"128" "ENSG00000006194" 47.09
"129" "ENSG00000006210" 53.7
"130" "ENSG00000006282" 57.05
"131" "ENSG00000006283" 56.83
"132" "ENSG00000006327" 60.12
"133" "ENSG00000006377" 49.51
"134" "ENSG00000006432" 44.98
"135" "ENSG00000006451" 39.69
"136" "ENSG00000006453" 46.77
"137" "ENSG00000006459" 39.18
"138" "ENSG00000006468" 36.3
"139" "ENSG00000006530" 39.59
"140" "ENSG00000006534" 58.4
"141" "ENSG00000006555" 52.26
"142" "ENSG00000006576" 37.65
"143" "ENSG00000006606" 48.09
"144" "ENSG00000006607" 45.6
"145" "ENSG00000006611" 51.78
"146" "ENSG00000006625" 40.55
"147" "ENSG00000006634" 36.72
"148" "ENSG00000006638" 55.77
"149" "ENSG00000006652" 39.45
"150" "ENSG00000006659" 45.3
"151" "ENSG00000006695" 38.47
"152" "ENSG00000006704" 52.72
"153" "ENSG00000006712" 52.73
"154" "ENSG00000006715" 38.35
"155" "ENSG00000006740" 42.68
"156" "ENSG00000006744" 48.08
"157" "ENSG00000006747" 38.46
"158" "ENSG00000006756" 48.88
"159" "ENSG00000006757" 40.45
"160" "ENSG00000006788" 45.88
"161" "ENSG00000006831" 39.4
"162" "ENSG00000006837" 40.16
"163" "ENSG00000007001" 40.24
"164" "ENSG00000007038" 55.65
"165" "ENSG00000007047" 53.57
"166" "ENSG00000007062" 43.17
"167" "ENSG00000007080" 55.84
"168" "ENSG00000007129" 44.66
"169" "ENSG00000007168" 42.4
"170" "ENSG00000007171" 51.36
"171" "ENSG00000007174" 42.63
"172" "ENSG00000007202" 46.75
"173" "ENSG00000007216" 52.55
"174" "ENSG00000007237" 47.97
"175" "ENSG00000007255" 56.86
"176" "ENSG00000007264" 54.4
"177" "ENSG00000007306" 47.86
"178" "ENSG00000007312" 60.69
"179" "ENSG00000007314" 56.1
"180" "ENSG00000007341" 39.05
"181" "ENSG00000007350" 48.34
"182" "ENSG00000007372" 49.72
"183" "ENSG00000007376" 67.17
"184" "ENSG00000007384" 61.15
"185" "ENSG00000007392" 47.33
"186" "ENSG00000007402" 56.52
"187" "ENSG00000007516" 65.72
"188" "ENSG00000007520" 62.57
"189" "ENSG00000007541" 64.36
"190" "ENSG00000007545" 53.11
"191" "ENSG00000007866" 56.75
"192" "ENSG00000007908" 39.37
"193" "ENSG00000007923" 46.6
"194" "ENSG00000007933" 36.5
"195" "ENSG00000007944" 40.19
"196" "ENSG00000007952" 41.14
"197" "ENSG00000007968" 51.66
"198" "ENSG00000008018" 39.81
"199" "ENSG00000008056" 47.81
"200" "ENSG00000008083" 43.92
"201" "ENSG00000008086" 40.21
"202" "ENSG00000008118" 47.01
"203" "ENSG00000008128" 51.99
"204" "ENSG00000008130" 53.7
"205" "ENSG00000008196" 44.14
"206" "ENSG00000008197" 37.24
"207" "ENSG00000008226" 48.5
"208" "ENSG00000008256" 44.78
"209" "ENSG00000008277" 37.29
"210" "ENSG00000008282" 38.18
"211" "ENSG00000008283" 57.41
"212" "ENSG00000008294" 40
"213" "ENSG00000008300" 59.89
"214" "ENSG00000008311" 36.48
"215" "ENSG00000008323" 55.71
"216" "ENSG00000008324" 47.77
"217" "ENSG00000008382" 55.95
"218" "ENSG00000008394" 36.94
"219" "ENSG00000008405" 37.62
"220" "ENSG00000008438" 57.73
"221" "ENSG00000008441" 55.28
"222" "ENSG00000008513" 49.4
"223" "ENSG00000008516" 58.2
"224" "ENSG00000008517" 53.36
"225" "ENSG00000008710" 63.1
"226" "ENSG00000008735" 63.07
"227" "ENSG00000008838" 50.63
"228" "ENSG00000008853" 53.51
"229" "ENSG00000008869" 38.59
"230" "ENSG00000008952" 36.6
"231" "ENSG00000008988" 41.97
"232" "ENSG00000009307" 38.28
"233" "ENSG00000009335" 42.12
"234" "ENSG00000009413" 36.9
"235" "ENSG00000009694" 37.17
"236" "ENSG00000009709" 52.35
"237" "ENSG00000009724" 50.21
"238" "ENSG00000009765" 41.6
"239" "ENSG00000009780" 43.35
"240" "ENSG00000009790" 45.61
"241" "ENSG00000009830" 47.08
"242" "ENSG00000009844" 35.53
"243" "ENSG00000009950" 56.25
"244" "ENSG00000009954" 43.19
"245" "ENSG00000010017" 36.94
"246" "ENSG00000010030" 49.34
"247" "ENSG00000010072" 41.57
"248" "ENSG00000010165" 43.61
"249" "ENSG00000010219" 42.77
"250" "ENSG00000010244" 38.47
"251" "ENSG00000010256" 53.04
"252" "ENSG00000010270" 38.4
"253" "ENSG00000010278" 51.04
"254" "ENSG00000010282" 56.48
"255" "ENSG00000010292" 46.34
"256" "ENSG00000010295" 54.32
"257" "ENSG00000010310" 54.94
"258" "ENSG00000010318" 45.18
"259" "ENSG00000010319" 59.63
"260" "ENSG00000010322" 53.28
"261" "ENSG00000010327" 60.65
"262" "ENSG00000010361" 52.29
"263" "ENSG00000010379" 47.19
"264" "ENSG00000010404" 45.34
"265" "ENSG00000010438" 42.84
"266" "ENSG00000010539" 43.67
"267" "ENSG00000010610" 48.55
"268" "ENSG00000010626" 47.35
"269" "ENSG00000010671" 43.18
"270" "ENSG00000010704" 44.85
"271" "ENSG00000010803" 39.5
"272" "ENSG00000010810" 42.42
"273" "ENSG00000010818" 38.72
"274" "ENSG00000010932" 40.91
"275" "ENSG00000011007" 45.7
"276" "ENSG00000011009" 62.39
"277" "ENSG00000011021" 47.79
"278" "ENSG00000011028" 52.24
"279" "ENSG00000011083" 54.69
"280" "ENSG00000011105" 52.13
"281" "ENSG00000011114" 40.08
"282" "ENSG00000011132" 56.64
"283" "ENSG00000011143" 47.46
"284" "ENSG00000011198" 40.26
"285" "ENSG00000011201" 39.59
"286" "ENSG00000011243" 48.86
"287" "ENSG00000011258" 39.5
"288" "ENSG00000011260" 40.38
"289" "ENSG00000011275" 45.52
"290" "ENSG00000011295" 41.07
"291" "ENSG00000011304" 61.17
"292" "ENSG00000011332" 57.15
"293" "ENSG00000011347" 57.15
"294" "ENSG00000011376" 42.15
"295" "ENSG00000011405" 39.84
"296" "ENSG00000011422" 49.94
"297" "ENSG00000011426" 37.88
"298" "ENSG00000011451" 58.16
"299" "ENSG00000011454" 38.49
"300" "ENSG00000011465" 34.92
"301" "ENSG00000011478" 52.56
"302" "ENSG00000011485" 50.75
"303" "ENSG00000011523" 47.81
"304" "ENSG00000011566" 36.9
"305" "ENSG00000011590" 52.49
"306" "ENSG00000011600" 51.45
"307" "ENSG00000011638" 43.7
"308" "ENSG00000011677" 37.36
"309" "ENSG00000012048" 44.09
"310" "ENSG00000012061" 52.1
"311" "ENSG00000012124" 50.25
"312" "ENSG00000012171" 60.71
"313" "ENSG00000012174" 38.49
"314" "ENSG00000012211" 56.05
"315" "ENSG00000012223" 46.95
"316" "ENSG00000012232" 44.36
"317" "ENSG00000012504" 39.74
"318" "ENSG00000012660" 41.88
"319" "ENSG00000012779" 47.73
"320" "ENSG00000012817" 38.66
"321" "ENSG00000012822" 49.2
