"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","LARGE1","HighEvidence","biallelic",NA
"2","MYMK","HighEvidence","biallelic",NA
"3","SELENON","HighEvidence","biallelic",NA
"4","B3GALNT2","HighEvidence","biallelic",NA
"5","B4GAT1","HighEvidence","biallelic",NA
"6","CHKB","HighEvidence","biallelic",NA
"7","COL12A1","HighEvidence","monoallelic_and_biallelic",NA
"8","COL6A1","HighEvidence","monoallelic_and_biallelic",NA
"9","COL6A2","HighEvidence","monoallelic_and_biallelic",NA
"10","COL6A3","HighEvidence","monoallelic_and_biallelic",NA
"11","DAG1","HighEvidence","biallelic",NA
"12","DMD","HighEvidence","xlinked_biallelic",NA
"13","DOLK","HighEvidence","biallelic",NA
"14","DPM2","HighEvidence","biallelic",NA
"15","FKRP","HighEvidence","biallelic",NA
"16","FKTN","HighEvidence","biallelic",NA
"17","GMPPB","HighEvidence","biallelic",NA
"18","INPP5K","HighEvidence","biallelic",NA
"19","ISPD","HighEvidence","biallelic",NA
"20","ITGA7","HighEvidence","biallelic",NA
"21","LAMA2","HighEvidence","biallelic",NA
"22","LMNA","HighEvidence","monoallelic",NA
"23","MICU1","HighEvidence","biallelic",NA
"24","POMGNT1","HighEvidence","biallelic",NA
"25","POMGNT2","HighEvidence","biallelic",NA
"26","POMK","HighEvidence","biallelic",NA
"27","POMT1","HighEvidence","biallelic",NA
"28","POMT2","HighEvidence","biallelic",NA
"29","RYR1","HighEvidence","monoallelic_and_biallelic",NA
"30","SYNE1","HighEvidence","monoallelic_and_biallelic",NA
"31","TMEM5","HighEvidence","biallelic",NA
"32","ACTA1","ModerateEvidence","biallelic",NA
"33","COL4A1","ModerateEvidence","monoallelic_not_imprinted",NA
"34","DPM1","ModerateEvidence","biallelic",NA
"35","DPM3","ModerateEvidence","biallelic",NA
"36","DYSF","ModerateEvidence","biallelic",NA
"37","TCAP","ModerateEvidence","biallelic",NA
"38","ANO5","LowEvidence","biallelic",NA
"39","COL4A2","LowEvidence",NA,NA
"40","DUX4","LowEvidence",NA,"Other - please provide details in the comments"
"41","EMD","LowEvidence","xlinked_biallelic",NA
"42","PABPN1","LowEvidence","monoallelic_and_biallelic",NA
"43","PLEC","LowEvidence",NA,NA
"44","SMCHD1","LowEvidence",NA,NA
"45","SYNE2","LowEvidence","monoallelic",NA
"46","TMEM43","LowEvidence","monoallelic",NA
"47","TRAPPC11","LowEvidence","biallelic",NA
