"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","SPART","HighEvidence","biallelic",NA
"2","WASHC5","HighEvidence","monoallelic",NA
"3","ADAR","HighEvidence","biallelic",NA
"4","AFG3L2","HighEvidence","biallelic",NA
"5","AIMP1","HighEvidence","biallelic",NA
"6","ALDH18A1","HighEvidence","monoallelic_and_biallelic",NA
"7","ALS2","HighEvidence","biallelic",NA
"8","AP4B1","HighEvidence","biallelic",NA
"9","AP4E1","HighEvidence","biallelic",NA
"10","AP4M1","HighEvidence","biallelic",NA
"11","AP4S1","HighEvidence","biallelic",NA
"12","ATL1","HighEvidence","monoallelic",NA
"13","B4GALNT1","HighEvidence","biallelic",NA
"14","BSCL2","HighEvidence","monoallelic",NA
"15","C12orf65","HighEvidence","biallelic",NA
"16","C19orf12","HighEvidence","biallelic",NA
"17","CYP2U1","HighEvidence","biallelic",NA
"18","CYP7B1","HighEvidence","biallelic",NA
"19","DDHD1","HighEvidence","biallelic",NA
"20","DDHD2","HighEvidence","biallelic",NA
"21","FA2H","HighEvidence","biallelic",NA
"22","GBA2","HighEvidence","biallelic",NA
"23","HSPD1","HighEvidence","monoallelic",NA
"24","KIDINS220","HighEvidence","monoallelic",NA
"25","KIF1A","HighEvidence","biallelic",NA
"26","KIF5A","HighEvidence","monoallelic",NA
"27","L1CAM","HighEvidence","xlinked_biallelic",NA
"28","NIPA1","HighEvidence","monoallelic",NA
"29","NKX6-2","HighEvidence","biallelic",NA
"30","OPA3","HighEvidence","biallelic",NA
"31","PLP1","HighEvidence","xlinked_biallelic",NA
"32","PNPLA6","HighEvidence","biallelic",NA
"33","REEP1","HighEvidence","monoallelic",NA
"34","RTN2","HighEvidence","monoallelic",NA
"35","SACS","HighEvidence","biallelic",NA
"36","SERAC1","HighEvidence","biallelic",NA
"37","SLC16A2","HighEvidence","xlinked_biallelic",NA
"38","SLC25A46","HighEvidence","biallelic",NA
"39","SPAST","HighEvidence","monoallelic",NA
"40","SPG11","HighEvidence","biallelic",NA
"41","SPG21","HighEvidence","biallelic",NA
"42","SPG7","HighEvidence","biallelic",NA
"43","TUBB4A","HighEvidence","monoallelic",NA
"44","WDR45B","HighEvidence","biallelic",NA
"45","ZFYVE26","HighEvidence","biallelic",NA
"46","CDK16","ModerateEvidence","xlinked_biallelic",NA
"47","REEP2","ModerateEvidence","monoallelic_and_biallelic",NA
"48","AMPD2","LowEvidence","biallelic",NA
"49","AP5Z1","LowEvidence","biallelic",NA
"50","ARL6IP1","LowEvidence","biallelic",NA
"51","ARSI","LowEvidence","biallelic",NA
"52","CCT5","LowEvidence","biallelic",NA
"53","DSTYK","LowEvidence","biallelic",NA
"54","ENTPD1","LowEvidence","biallelic",NA
"55","ERLIN2","LowEvidence","biallelic",NA
"56","GAD1","LowEvidence",NA,NA
"57","GJC2","LowEvidence","biallelic",NA
"58","KIF1C","LowEvidence","biallelic",NA
"59","MARS","LowEvidence","biallelic",NA
"60","MARS2","LowEvidence",NA,NA
"61","MTPAP","LowEvidence","biallelic",NA
"62","NT5C2","LowEvidence","biallelic",NA
"63","PCDH12","LowEvidence","biallelic",NA
"64","PGAP1","LowEvidence","biallelic",NA
"65","PSEN1","LowEvidence",NA,NA
"66","SLC33A1","LowEvidence","monoallelic",NA
"67","TECPR2","LowEvidence","biallelic",NA
"68","TFG","LowEvidence","biallelic",NA
"69","USP8","LowEvidence","biallelic",NA
"70","VAMP1","LowEvidence","monoallelic",NA
"71","VPS37A","LowEvidence","biallelic",NA
"72","WDR48","LowEvidence","biallelic",NA
"73","ZEB2","LowEvidence",NA,NA
"74","ZFYVE27","LowEvidence","monoallelic",NA
"75","SPG14","NoList","biallelic",NA
"76","SPG16","NoList","xlinked_monoallelic",NA
"77","SPG19","NoList","monoallelic",NA
"78","SPG23","NoList","biallelic",NA
"79","SPG24","NoList","biallelic",NA
"80","SPG25","NoList","biallelic",NA
"81","SPG27","NoList","biallelic",NA
"82","SPG29","NoList","biallelic",NA
"83","SPG32","NoList","biallelic",NA
"84","SPG34","NoList","xlinked_monoallelic",NA
"85","SPG36","NoList","monoallelic",NA
"86","SPG37","NoList","monoallelic",NA
"87","SPG38","NoList","monoallelic",NA
"88","SPG41","NoList","monoallelic",NA
