"ensembl_gene_id" "start_position" "end_position"
"1" "ENSG00000000003" 100627109 100639991
"2" "ENSG00000000005" 100584802 100599885
"3" "ENSG00000000419" 50934867 50958555
"4" "ENSG00000000457" 169849631 169894267
"5" "ENSG00000000460" 169662007 169854080
"6" "ENSG00000000938" 27612064 27635277
"7" "ENSG00000000971" 196651878 196747504
"8" "ENSG00000001036" 143494811 143511690
"9" "ENSG00000001084" 53497341 53616970
"10" "ENSG00000001167" 41072945 41099976
"11" "ENSG00000001460" 24356999 24416934
"12" "ENSG00000001461" 24415794 24472976
"13" "ENSG00000001497" 65512582 65534775
"14" "ENSG00000001561" 46129993 46146699
"15" "ENSG00000001617" 50155045 50189075
"16" "ENSG00000001626" 117465784 117715971
"17" "ENSG00000001629" 92246234 92401384
"18" "ENSG00000001630" 92112151 92142952
"19" "ENSG00000001631" 92198969 92246166
"20" "ENSG00000002016" 912077 990053
"21" "ENSG00000002079" 99238794 99311130
"22" "ENSG00000002330" 64269830 64284704
"23" "ENSG00000002549" 17577192 17607972
"24" "ENSG00000002586" 2691179 2741309
"25" "ENSG00000002587" 11393150 11429765
"26" "ENSG00000002726" 150824627 150861504
"27" "ENSG00000002745" 121325367 121341104
"28" "ENSG00000002746" 43112599 43566001
"29" "ENSG00000002822" 1815793 2233243
"30" "ENSG00000002834" 38869859 38921770
"31" "ENSG00000002919" 48103357 48123074
"32" "ENSG00000002933" 150800403 150805120
"33" "ENSG00000003056" 8940363 8949955
"34" "ENSG00000003096" 117897813 118117340
"35" "ENSG00000003137" 72129238 72148038
"36" "ENSG00000003147" 8113184 8262687
"37" "ENSG00000003249" 90004865 90020128
"38" "ENSG00000003393" 201700554 201781189
"39" "ENSG00000003400" 201182881 201229406
"40" "ENSG00000003402" 201116104 201176687
"41" "ENSG00000003436" 187464230 187565760
"42" "ENSG00000003509" 37231631 37253403
"43" "ENSG00000003756" 50088908 50119021
"44" "ENSG00000003987" 17298030 17413528
"45" "ENSG00000003989" 17497088 17570573
"46" "ENSG00000004059" 127588345 127591705
"47" "ENSG00000004139" 28364356 28404049
"48" "ENSG00000004142" 28347177 28357522
"49" "ENSG00000004399" 129555175 129606818
"50" "ENSG00000004455" 33007940 33080996
"51" "ENSG00000004468" 15778275 15853230
"52" "ENSG00000004478" 2794953 2805423
"53" "ENSG00000004487" 23019448 23083689
"54" "ENSG00000004534" 49940007 50100045
"55" "ENSG00000004660" 3860315 3894891
"56" "ENSG00000004700" 21468911 21501669
"57" "ENSG00000004766" 93232340 93361121
"58" "ENSG00000004776" 35754569 35758079
"59" "ENSG00000004777" 35774532 35788822
"60" "ENSG00000004779" 23581002 23596356
"61" "ENSG00000004799" 95583499 95596491
"62" "ENSG00000004809" 110424687 110476641
"63" "ENSG00000004838" 50341110 50346852
"64" "ENSG00000004846" 20615207 20777038
"65" "ENSG00000004848" 25003694 25016420
"66" "ENSG00000004864" 96120220 96322147
"67" "ENSG00000004866" 116953238 117230103
"68" "ENSG00000004897" 47117703 47189422
"69" "ENSG00000004939" 44248385 44268141
"70" "ENSG00000004948" 93424487 93574730
"71" "ENSG00000004961" 11111301 11123078
"72" "ENSG00000004975" 7225341 7234545
"73" "ENSG00000005001" 2852727 2858170
"74" "ENSG00000005007" 18831938 18868236
"75" "ENSG00000005020" 26667062 26995239
"76" "ENSG00000005022" 119468400 119471319
"77" "ENSG00000005059" 109560205 109688726
"78" "ENSG00000005073" 27181510 27185223
"79" "ENSG00000005075" 102473118 102478907
"80" "ENSG00000005100" 5440912 5469060
"81" "ENSG00000005102" 43640388 43661954
"82" "ENSG00000005108" 11370357 11832198
"83" "ENSG00000005156" 34980494 35009743
"84" "ENSG00000005175" 47661249 47706061
"85" "ENSG00000005187" 20610243 20797581
"86" "ENSG00000005189" 20806429 20849668
"87" "ENSG00000005194" 57428169 57447528
"88" "ENSG00000005206" 2328615 2354806
"89" "ENSG00000005238" 35104112 35116341
"90" "ENSG00000005243" 48026167 48038030
"91" "ENSG00000005249" 107044649 107161811
"92" "ENSG00000005302" 11758159 11775753
"93" "ENSG00000005339" 3725054 3880726
"94" "ENSG00000005379" 58301228 58328760
"95" "ENSG00000005381" 58269856 58280935
"96" "ENSG00000005421" 95297676 95324707
"97" "ENSG00000005436" 75652000 75710989
"98" "ENSG00000005448" 74421678 74425755
"99" "ENSG00000005469" 87345681 87399795
"100" "ENSG00000005471" 87401697 87480435
"101" "ENSG00000005483" 105014179 105114361
"102" "ENSG00000005486" 75842602 75888926
"103" "ENSG00000005513" 981808 986979
"104" "ENSG00000005700" 82169983 82247754
"105" "ENSG00000005801" 3339261 3379222
"106" "ENSG00000005810" 77044655 77327050
"107" "ENSG00000005812" 76992598 77027195
"108" "ENSG00000005844" 30472658 30523185
"109" "ENSG00000005882" 50094737 50112152
"110" "ENSG00000005884" 50055968 50090481
"111" "ENSG00000005889" 24149173 24216255
"112" "ENSG00000005893" 120427827 120469365
"113" "ENSG00000005961" 44372180 44389505
"114" "ENSG00000005981" 95478444 95540232
"115" "ENSG00000006007" 19501689 19522145
"116" "ENSG00000006015" 18588685 18592336
"117" "ENSG00000006016" 18572220 18607741
"118" "ENSG00000006025" 47807372 47821834
"119" "ENSG00000006042" 32927910 32945106
"120" "ENSG00000006047" 7288252 7294615
"121" "ENSG00000006059" 41346092 41350812
"122" "ENSG00000006062" 45263121 45317040
"123" "ENSG00000006071" 17392885 17476845
"124" "ENSG00000006116" 24255553 24362801
"125" "ENSG00000006118" 60924463 60937159
"126" "ENSG00000006125" 35578046 35726409
"127" "ENSG00000006128" 97731908 97740472
"128" "ENSG00000006194" 3263800 3301401
"129" "ENSG00000006210" 57372458 57385048
"130" "ENSG00000006282" 50543058 50555852
"131" "ENSG00000006283" 50561068 50627474
"132" "ENSG00000006327" 3018445 3022383
"133" "ENSG00000006377" 97005548 97011039
"134" "ENSG00000006432" 70722526 70809534
"135" "ENSG00000006451" 39623483 39708124
"136" "ENSG00000006453" 98291651 98401068
"137" "ENSG00000006459" 140084746 140177035
"138" "ENSG00000006468" 13891228 13991425
"139" "ENSG00000006530" 141551189 141655244
"140" "ENSG00000006534" 68008578 68029282
"141" "ENSG00000006555" 54779712 54801267
"142" "ENSG00000006576" 77798792 77957503
"143" "ENSG00000006606" 75769533 75789896
"144" "ENSG00000006607" 241356243 241494841
"145" "ENSG00000006611" 17493895 17544416
"146" "ENSG00000006625" 30496621 30504844
"147" "ENSG00000006634" 87876216 87909541
"148" "ENSG00000006638" 3594506 3606840
"149" "ENSG00000006652" 112422968 112481017
"150" "ENSG00000006659" 39704306 39709444
"151" "ENSG00000006695" 14069496 14208677
"152" "ENSG00000006704" 74453790 74602604
"153" "ENSG00000006712" 39385852 39391195
"154" "ENSG00000006715" 38722963 38932394
"155" "ENSG00000006740" 12789539 12991643
"156" "ENSG00000006744" 12992391 13018187
"157" "ENSG00000006747" 12570577 12660179
"158" "ENSG00000006756" 2903970 2929351
"159" "ENSG00000006757" 7898247 7927739
"160" "ENSG00000006788" 10300865 10373130
"161" "ENSG00000006831" 1688574 1788678
"162" "ENSG00000006837" 134286350 134371047
"163" "ENSG00000007001" 157876702 158136154
"164" "ENSG00000007038" 2817180 2826304
"165" "ENSG00000007047" 45079288 45305283
"166" "ENSG00000007062" 15963076 16084378
"167" "ENSG00000007080" 17933016 17943991
"168" "ENSG00000007129" 41549518 41586844
"169" "ENSG00000007168" 2593210 2685615
"170" "ENSG00000007171" 27756766 27800499
"171" "ENSG00000007174" 11598431 11969748
"172" "ENSG00000007202" 28614440 28645454
"173" "ENSG00000007216" 28473293 28497781
"174" "ENSG00000007237" 9910609 10198551
"175" "ENSG00000007255" 45162928 45178237
"176" "ENSG00000007264" 3777970 3802129
"177" "ENSG00000007306" 41673307 41706976
"178" "ENSG00000007312" 63928740 63932354
"179" "ENSG00000007314" 63938554 63972918
"180" "ENSG00000007341" 112523518 112620825
"181" "ENSG00000007350" 154295671 154330350
"182" "ENSG00000007372" 31784779 31818062
"183" "ENSG00000007376" 784974 788397
"184" "ENSG00000007384" 58059 76355
"185" "ENSG00000007392" 188969 229463
"186" "ENSG00000007402" 50362799 50504244
"187" "ENSG00000007516" 1333601 1349441
"188" "ENSG00000007520" 1349240 1351911
"189" "ENSG00000007541" 566995 584136
"190" "ENSG00000007545" 1612325 1677908
"191" "ENSG00000007866" 35473597 35497076
"192" "ENSG00000007908" 169722641 169764705
"193" "ENSG00000007923" 6634168 6701924
"194" "ENSG00000007933" 171090877 171117819
"195" "ENSG00000007944" 16129125 16148248
"196" "ENSG00000007952" 100843324 100874345
"197" "ENSG00000007968" 23506430 23531220
"198" "ENSG00000008018" 170535117 170553341
"199" "ENSG00000008056" 47571898 47619943
"200" "ENSG00000008083" 15246296 15522040
"201" "ENSG00000008086" 18425583 18653629
"202" "ENSG00000008118" 209583717 209613938
"203" "ENSG00000008128" 1702730 1724324
"204" "ENSG00000008130" 1751232 1780457
"205" "ENSG00000008196" 50818723 50847613
"206" "ENSG00000008197" 50713828 50772988
"207" "ENSG00000008226" 38039205 38124025
"208" "ENSG00000008256" 6161776 6272644
"209" "ENSG00000008277" 87934143 88202889
"210" "ENSG00000008282" 106090503 106112576
"211" "ENSG00000008283" 63432304 63446378
"212" "ENSG00000008294" 50962174 51120865
"213" "ENSG00000008300" 48636469 48662915
"214" "ENSG00000008311" 122075647 122144280
"215" "ENSG00000008323" 6310436 6328506
"216" "ENSG00000008324" 42581840 42595114
"217" "ENSG00000008382" 4343527 4360086
"218" "ENSG00000008394" 16347142 16609259
"219" "ENSG00000008405" 106991364 107093829
"220" "ENSG00000008438" 46019153 46023065
"221" "ENSG00000008441" 12995608 13098796
"222" "ENSG00000008513" 133454848 133571940
"223" "ENSG00000008516" 3046681 3060726
"224" "ENSG00000008517" 3065297 3082192
"225" "ENSG00000008710" 2088710 2135898
"226" "ENSG00000008735" 50600685 50613981
"227" "ENSG00000008838" 40019097 40061215
"228" "ENSG00000008853" 22987417 23020199
"229" "ENSG00000008869" 36968383 37084342
"230" "ENSG00000008952" 169966635 169998373
"231" "ENSG00000008988" 56067295 56074581
"232" "ENSG00000009307" 114716913 114758676
"233" "ENSG00000009335" 157138913 157269372
"234" "ENSG00000009413" 111299028 111483715
"235" "ENSG00000009694" 124375903 124963817
"236" "ENSG00000009709" 18631006 18748866
"237" "ENSG00000009724" 11026523 11047233
"238" "ENSG00000009765" 150368892 150405969
"239" "ENSG00000009780" 27725979 27763122
"240" "ENSG00000009790" 209756032 209782320
"241" "ENSG00000009830" 77274956 77320884
"242" "ENSG00000009844" 142147162 142224689
"243" "ENSG00000009950" 73593194 73624543
"244" "ENSG00000009954" 73440398 73522278
"245" "ENSG00000010017" 13621498 13711564
"246" "ENSG00000010030" 36354091 36387800
"247" "ENSG00000010072" 231337104 231355023
"248" "ENSG00000010165" 171781664 171814023
"249" "ENSG00000010219" 4562204 4615302
"250" "ENSG00000010244" 32350117 32381886
"251" "ENSG00000010256" 48599002 48610976
"252" "ENSG00000010270" 38178222 38230671
"253" "ENSG00000010278" 6199715 6238271
"254" "ENSG00000010282" 42692663 42702827
"255" "ENSG00000010292" 6493356 6531955
"256" "ENSG00000010295" 6538375 6556083
"257" "ENSG00000010310" 45668244 45683724
"258" "ENSG00000010318" 52410657 52423641
"259" "ENSG00000010319" 52433053 52445085
"260" "ENSG00000010322" 52455118 52493071
"261" "ENSG00000010327" 52495338 52524495
"262" "ENSG00000010361" 49806869 49817376
"263" "ENSG00000010379" 220621 262873
"264" "ENSG00000010404" 149476990 149521096
"265" "ENSG00000010438" 33750466 33799231
"266" "ENSG00000010539" 3222325 3236221
"267" "ENSG00000010610" 6786858 6820808
"268" "ENSG00000010626" 6873569 6914243
"269" "ENSG00000010671" 101349447 101390796
"270" "ENSG00000010704" 26087281 26098343
"271" "ENSG00000010803" 41027200 41242154
"272" "ENSG00000010810" 111660332 111873452
"273" "ENSG00000010818" 142751467 142956698
"274" "ENSG00000010932" 171248471 171285978
"275" "ENSG00000011007" 23743155 23762059
"276" "ENSG00000011009" 23790970 23795539
"277" "ENSG00000011021" 11806096 11843144
"278" "ENSG00000011028" 62627401 62693597
"279" "ENSG00000011083" 150189957 150222788
"280" "ENSG00000011105" 3077355 3286564
"281" "ENSG00000011114" 93237550 93333092
"282" "ENSG00000011132" 3750819 3761699
"283" "ENSG00000011143" 58205437 58219605
"284" "ENSG00000011198" 43690113 43734371
"285" "ENSG00000011201" 8528874 8732186
"286" "ENSG00000011243" 15380048 15419141
"287" "ENSG00000011258" 51177425 51260163
"288" "ENSG00000011260" 51260528 51297936
"289" "ENSG00000011275" 5620047 5781739
"290" "ENSG00000011295" 15999380 16045015
