Gene	Score	STRING-combinedscore	ExAC-pRec	STRING-experimentalscore	ExAC-missensez-score	PhyloPat5'-UTR	STRING-textminingscore	Numberdonor/numbersynonymous	mRNAhalf-life->10h	lda_score
OR4F5	0.232924781610214	0	0.644086264144236	0	3.60208899915439	0.270124378109453	0	0	0	-0.211011834529141
AL627309.1	0.0611662155010938	0	0.5	0	0	-1	0	0	0	-1.57463261096988
AL645608.1	0.0611662155010938	0	0.5	0	0	-1	0	0	0	-1.57463261096988
SAMD11	0.0527152431966646	0	0.18370000637236	0	-3.78619594189517	-0.218452736318408	0	0.0246305297386553	1	-1.88906853788285
NOC2L	0.621131161409274	5	0.0025628417280481	1	-2.27589188516337	-0.0725422885572139	3	0.0170212693526513	0	0.649235054527773
KLHL17	0.103454547236873	0	0.722913600252338	0	0.575586310599741	0.238745	0	0.0190113996154374	0	-0.914384876158728
PLEKHN1	0.0592787405454962	0	0.659994782009553	0	-3.32894156576519	-0.333	1	0.00602409275657063	0	-1.63039831737365
C1orf170	0.0577306477747011	0	0.5	0	0	-1	0	0.0140844872049476	0	-1.68073111226893
HES4	0.690452760305468	6	0.245981533859779	0	1.80096446545711	-0.101435	3	0.020833289930646	0	0.781309149725555
ISG15	0.37526984450438	2	0.600249312746062	2	0.212785810450386	-0.3761	3	0	0	0.171879136272398
RNF223	0.101365048118669	0	0.5	0	0	-0.168039800995025	0	0	0	-0.934958124555862
C1orf159	0.064394630067681	0	0.765691410287669	0	-0.419915664662871	-0.265940298507463	0	0.0181818016529076	0	-1.49026388787639
TTLL10	0.0795129595780442	0	0.46328044912402	0	-1.57410940693646	-0.0786381909547739	0	0.018518501371758	0	-1.20254310474738
TNFRSF18	0.125793372828158	0	0.0899964437101961	0	-1.35382095030263	-0.11181592039801	3	0	1	-0.727698337311923
TNFRSF4	0.0561691293454608	0	0.767863756452999	0	-0.0950873440179077	-0.0154676616915423	0	0.0166666388889352	1	-1.73679419195555
SDF4	0.117891700515304	0	0.858724276816432	0	1.23324063056091	-0.0982587064676617	2	0	0	-0.787769377737247
FAM132A	0.0783990654608012	0	0.416873507225484	0	-0.659885729009745	-0.366004975124378	0	0.0161290062435383	0	-1.2197396386626
UBE2J2	0.128013116514885	0	0.575988647550294	0	2.19951486199932	-0.0234726368159204	0	0.018181785124027	0	-0.711774737859487
SCNN1D	0.0959336705190336	1	0.00478257645975459	0	-2.40151619832456	-0.467562189054726	0	0.0174825113697513	0	-0.99173954217046
ACAP3	0.0884946393219743	0	0.960288965972801	0	1.79659405119178	0.0900355329949239	0	0.0166666574074125	0	-1.07871315120884
PUSL1	0.0778186781444039	0	0.00468747091109371	0	-0.63531699799897	-0.264049751243781	2	0.0581394672796892	1	-1.22888972215369
CPSF3L	0.0671939453888287	0	0.846463747518153	0	1.07088061645952	-0.36183	1	0.0372092850189372	0	-1.42575873441811
GLTPD1	0.0828007173328069	0	0.425815348180197	0	-0.224249760524727	-0.353492537313433	0	0.0161290062435383	0	-1.15436087652845
TAS1R3	0.155926442912347	2	0.5	0	0	-0.177099502487562	1	0.00333333222222259	0	-0.538842678470362
MXRA8	0.0823067382325116	0	0.965656662782626	0	2.10872326362312	-0.040134328358209	0	0.0198019605921182	0	-1.16136973517117
AURKAIP1	0.108796094340002	0	0.544889583001888	0	0.657050503544357	-0.142830845771144	0	0	0	-0.864599431947713
CCNL2	0.0923543446801669	0	0.895164135963453	0	1.63810396118457	0.00662000000000001	0	0.00793650163769711	0	-1.03211296817733
RP4-758J18.2	0.0611662155010938	0	0.5	0	0	-1	0	0	0	-1.57463261096988
MRPL20	0.0906801775198783	1	0.691280353635067	1	-0.782176170261628	-0.415119402985075	2	0.0465115197406518	0	-1.05190948185632
ANKRD65	0.0989463602177872	0	0.5	0	0	0.0331492537313433	0	0.0238094671203164	0	-0.959625442766146
TMEM88B	0.136279041864847	0	0.5	0	0	0.195199004975124	0	0	0	-0.655672412411829
VWA1	0.251779200047423	3	0.82084167327595	0	1.00904618199888	-0.017985	3	0	0	-0.149191865335004
